date,q_load,q_pv,q_source,soc0_actual,soc24_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh,n_simultaneous_plan,max_unserved_kwh
2025-05-31,0.8,0.2,fixed,1333.3937327777778,1460.2060240370374,26936.964405400002,13726.376875395239,67.35663800000208,411.7511280940127,14138.128003489252,16334.41651940823,0,0.0
2025-06-01,0.8,0.2,fixed,1460.2060240370374,1200.0,59858.366179,35838.961542205405,13695.406848866663,81541.2592043285,117380.2207465339,17.70553333333362,0,0.0
2025-06-02,0.8,0.2,fixed,1200.0,1200.0,63797.27211,38107.922810127,9069.371662466663,55196.08050544711,93304.00331557411,592.6629566666669,0,0.0
2025-06-03,0.8,0.2,fixed,1200.0,1200.0,64445.26905,38486.489123623,7443.327035699998,43306.37747156053,81792.86659518353,103.29742333333388,0,0.0
2025-06-04,0.8,0.2,fixed,1200.0,1200.0,67526.363192,40427.7860952208,5826.73890653333,34948.36863532011,75376.1547305409,119.36182666666684,0,0.0
2025-06-05,0.8,0.2,fixed,1200.0,1200.0,69524.57963,41790.269152828,5747.073477899996,33228.09595246241,75018.3651052904,27.339670000000183,0,0.0
2025-06-06,0.8,0.2,fixed,1200.0,1200.0,29121.4046525,15209.54931801335,6468.049212899997,35713.88035970679,50923.42967772014,2166.419333333336,0,0.0
2025-06-07,0.8,0.2,fixed,1200.0,1200.0,30082.015175399996,16005.40682312682,4032.1590918333295,21825.87875231326,37831.28557544008,720.4783666666611,0,0.0
2025-06-08,0.8,0.2,fixed,1200.0,1200.0,75832.809943,46242.68413193223,2158.3716269999995,10703.352938745398,56946.03707067762,9502.908207037053,0,0.0
2025-06-09,0.8,0.2,fixed,1200.0,1200.0,74706.686911,45329.620293283704,3196.826310000003,18755.210957911688,64084.83125119539,3008.6228840288104,0,0.0
2025-06-10,0.8,0.2,fixed,1200.0,1200.0,74647.135176,45248.1341659578,3201.5445166666664,17517.669390305,62765.80355626281,2122.8835389300466,0,0.0
2025-06-11,0.8,0.2,fixed,1200.0,1200.0,75253.0715612,45550.50961699528,6192.352225166654,35677.4040993392,81227.91371633447,1188.7589600000006,0,0.0
2025-06-12,0.8,0.2,fixed,1200.0,1200.0,77266.8808624,47291.82487321964,2574.0496884333347,14827.331041209512,62119.15591442915,3216.1573722469175,0,0.0
2025-06-13,0.8,0.2,fixed,1200.0,1209.885294,32819.091873,18097.637786225,1614.9549896666626,9483.572772039324,27581.210558264327,3549.4523158312777,0,0.0
2025-06-14,0.8,0.2,fixed,1209.885294,1200.0,32099.656279,17634.4327803384,2074.133469099997,10539.821260187216,28174.254040525615,5571.304618559674,0,0.0
2025-06-15,0.8,0.2,fixed,1200.0,1200.0,76936.7883987,47132.98634581776,1343.1994966666666,6026.84693058477,53159.833276402525,3617.125356345685,0,0.0
2025-06-16,0.8,0.2,fixed,1200.0,1200.0,77595.90046620001,47614.20484532774,1634.6801468666633,9377.190732862378,56991.39557819012,2330.534998427989,0,0.0
2025-06-17,0.8,0.2,fixed,1200.0,1200.0,77446.9912802,47462.115766271934,3633.589733466669,20764.459494237366,68226.5752605093,2471.5051403251023,0,0.0
2025-06-18,0.8,0.2,fixed,1200.0,1200.0,78316.4055942,48077.2658185406,1820.5074022333276,9834.253911144897,57911.519729685504,5546.871661366259,0,0.0
2025-06-19,0.8,0.2,fixed,1200.0,1227.5503938518518,78254.24190636,48067.950390067344,1365.5964903066676,7901.185545246321,55969.135935313665,7332.678698823056,0,0.0
2025-06-20,0.8,0.2,fixed,1227.5503938518518,1200.0,31992.855351,17662.4101174007,1318.554225166664,5840.216957565718,23502.627074966418,8446.958622193417,0,0.0
2025-06-21,0.8,0.2,fixed,1200.0,1206.488571,31878.7792607,17567.19376792058,887.2626024999981,3947.1169372683275,21514.31070518891,10960.471457366668,0,0.0
2025-06-22,0.8,0.2,fixed,1206.488571,1200.0,76292.2818402,46785.2977116587,823.9574451333324,3540.405176143161,50325.70288780186,5918.532390456795,0,0.0
2025-06-23,0.8,0.2,fixed,1200.0,1200.0,75794.09826259999,46329.83930561115,1362.7427035999963,7144.841191587444,53474.6804971986,6081.644862358032,0,0.0
2025-06-24,0.8,0.2,fixed,1200.0,1204.146588,74644.30147986,45500.48565294941,5730.071313966666,32050.786109522465,77551.27176247188,55.47363000000007,0,0.0
2025-06-25,0.8,0.2,fixed,1204.146588,1200.0,75308.24521564,45975.21858816658,815.4031302599954,3564.508548646177,49539.727136812755,1391.2371620658535,0,0.0
2025-06-26,0.8,0.2,fixed,1200.0,1200.0,75952.5776758,46526.96488917868,912.5004215666667,4317.047191763351,50844.01208094203,5107.204742897117,0,0.0
2025-06-27,0.8,0.2,fixed,1200.0,1200.0,31588.396829999998,17393.0525326308,523.6369242666633,2747.5006534522313,20140.553186083034,9836.587187613168,0,0.0
2025-06-28,0.8,0.2,fixed,1200.0,1200.0,31563.692003,17350.4202388413,510.66042860333073,2250.749238622289,19601.169477463587,7964.193534115227,0,0.0
2025-06-29,0.8,0.2,fixed,1200.0,1296.0443265555557,76334.356753,46901.698690556295,459.4210809666664,2427.9360463604653,49329.63473691676,3474.566178666673,0,0.0
2025-06-30,0.8,0.2,fixed,1296.0443265555557,1200.0,76396.999714,46988.9665790938,519.1965996666662,2116.858675469367,49105.82525456317,3281.187658810706,0,0.0
2025-07-01,0.8,0.2,fixed,1200.0,1200.0,76498.9248757,46911.88716665174,7412.384193199992,37977.49587036493,84889.38303701667,1045.506745596709,0,0.0
2025-07-02,0.8,0.2,fixed,1200.0,1200.0,78452.53531499999,48321.5997606059,4207.5375749999985,21647.102741641327,69968.70250224724,5972.963686707822,0,0.0
2025-07-03,0.8,0.2,fixed,1200.0,1200.0,78804.173197,48701.803003637295,5807.1855294499965,30980.506295244275,79682.30929888156,631.8653433333337,0,0.0
2025-07-04,0.8,0.2,fixed,1200.0,1200.0,32997.088325100005,18399.10807416553,8090.481745133331,34541.63589033153,52940.74396449706,9760.98953333333,0,0.0
2025-07-05,0.8,0.2,fixed,1200.0,1200.0,34087.14033,19032.8808913468,7369.315659833331,33745.40397836608,52778.28486971288,10363.689966666665,0,0.0
2025-07-06,0.8,0.2,fixed,1200.0,1200.0,75517.48664799999,46479.723107817896,8930.92154413333,51523.09794338459,98002.82105120248,721.309840000001,0,0.0
2025-07-07,0.8,0.2,fixed,1200.0,1200.0,76112.070396,46884.6851776527,3562.569996699999,17702.348372087166,64587.03354973986,2319.31245580247,0,0.0
2025-07-08,0.8,0.2,fixed,1200.0,1200.0,74723.909767,46105.5665731442,6757.681881066666,37530.2227740152,83635.7893471594,1914.8536626666696,0,0.0
2025-07-09,0.8,0.2,fixed,1200.0,1200.0,74124.455621,45756.7713035008,4446.728057499995,23292.656976062644,69049.42827956344,414.7198637860066,0,0.0
2025-07-10,0.8,0.2,fixed,1200.0,1200.0,74515.9237518,46075.07771767692,4584.984165266668,23852.733866468094,69927.811584145,1988.2727021810692,0,0.0
2025-07-11,0.8,0.2,fixed,1200.0,1200.0,36990.567304,20901.918243729997,4394.181187999998,21181.244676034254,42083.16291976425,6434.700090666669,0,0.0
2025-07-12,0.8,0.2,fixed,1200.0,1200.0,35779.612165000006,20434.8826567649,5677.8713204499945,25570.693218009532,46005.57587477443,8016.247499999998,0,0.0
2025-07-13,0.8,0.2,fixed,1200.0,1200.0,74847.80448980001,46367.00204264136,2791.442323099995,14057.09338213707,60424.09542477843,4357.498550684776,0,0.0
2025-07-14,0.8,0.2,fixed,1200.0,1200.0,73669.736728,45648.3782118747,3212.8556685666626,17059.537759000195,62707.91597087489,1148.8991283539096,0,0.0
2025-07-15,0.8,0.2,fixed,1200.0,1200.0,73786.57611499999,45788.2999262166,3037.130041633336,17443.478369676806,63231.778295893404,247.5809800000004,0,0.0
2025-07-16,0.8,0.2,fixed,1200.0,1200.0,73522.003837,45513.2203590217,3430.5128677666667,18535.584624807303,64048.804983829,790.7555063786058,0,0.0
2025-07-17,0.8,0.2,fixed,1200.0,1200.0,73815.889154,45794.8480380008,4379.629243766667,23447.420572620675,69242.26861062147,1270.3471526666672,0,0.0
2025-07-18,0.8,0.2,fixed,1200.0,1200.0,36545.208874,20994.85404039,3496.170390716666,15899.740733771094,36894.594774161094,6251.535166666667,0,0.0
2025-07-19,0.8,0.2,fixed,1200.0,1200.0,36423.759485,20977.6198426555,3973.4335780333313,18882.271678991332,39859.89152164683,11007.632241666666,0,0.0
2025-07-20,0.8,0.2,fixed,1200.0,1200.0,73497.704101,45885.94366913311,2785.954494759995,15362.110745775306,61248.054414908416,307.2183333333343,0,0.0
2025-07-21,0.8,0.2,fixed,1200.0,1200.0,74447.64365,46354.5808570994,3648.268882999996,21026.559329020085,67381.14018611948,265.5503433333331,0,0.0
2025-07-22,0.8,0.2,fixed,1200.0,1200.0,74728.849291,46461.6327189237,4063.685068733329,23588.821616515277,70050.45433543898,1237.303883333334,0,0.0
2025-07-23,0.8,0.2,fixed,1200.0,1200.0,75783.802932,47105.334126293295,3167.1770406999963,17671.441617876666,64776.775744169965,648.8390562139896,0,0.0
2025-07-24,0.8,0.2,fixed,1200.0,1213.502583,76802.439275,47836.1044546365,2432.333980733328,14063.142567365132,61899.24702200163,1486.7277146913646,0,0.0
2025-07-25,0.8,0.2,fixed,1213.502583,1200.0,37450.436885,21723.3792141485,2461.961669266663,11659.51664150673,33382.89585565523,10939.69631833333,0,0.0
2025-07-26,0.8,0.2,fixed,1200.0,1209.183355925926,37494.95697,21845.651840486797,2651.9612069666637,12407.097602830465,34252.74944331726,9334.77452386831,0,0.0
2025-07-27,0.8,0.2,fixed,1209.183355925926,1200.0,76775.387657,47888.2133032977,2740.7735657666653,13639.78513636896,61527.99843966666,1702.0652235390999,0,0.0
