date,q_load,q_pv,q_source,soc0_actual,soc24_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh,n_simultaneous_plan,max_unserved_kwh
2025-06-16,0.8,0.2,fixed,1338.7990245925928,1345.9225823703707,80823.310874,50261.2727219438,244.34761486666588,1478.4901574649637,51739.762879408765,4197.069323057615,0,0.0
2025-06-17,0.8,0.2,fixed,1345.9225823703707,1205.843631,79807.429987,49385.8304627393,1933.3722533333328,11285.539568675315,60671.37003141461,3236.648844168736,0,0.0
2025-06-18,0.8,0.2,fixed,1205.843631,1200.0,80648.68853099999,49948.412188044094,288.12553606666387,1603.6950958006519,51552.10728384474,6323.171945724282,0,0.0
2025-06-19,0.8,0.2,fixed,1200.0,1422.2695470370375,80881.43778499999,50160.3193447931,323.00373436666473,1968.3433071500883,52128.66265194319,8723.747816172843,0,0.0
2025-06-20,0.8,0.2,fixed,1422.2695470370375,1205.1646046666679,33989.7367284,19399.54934837522,0.0,0.0,19399.54934837522,9341.403979346502,0,0.0
2025-06-21,0.8,0.2,fixed,1205.1646046666679,1636.1619968888901,34154.973433,19268.11929221,15.471522466665533,33.07811503373091,19301.197407243733,11940.697468987652,0,0.0
2025-06-22,0.8,0.2,fixed,1636.1619968888901,1295.8585675185186,78673.276607,48859.091875411,31.59244833333355,214.43540702583482,49073.52728243684,7934.499960934163,0,0.0
2025-06-23,0.8,0.2,fixed,1295.8585675185186,1231.334343,78244.277212,48264.045530218194,305.310603499997,1198.1121627687157,49462.15769298691,7570.124760465031,0,0.0
2025-06-24,0.8,0.2,fixed,1231.334343,1238.7051150000002,76420.635072,46854.8100335817,4213.5463112399975,23841.791383031756,70696.60141661346,183.97766609053588,0,0.0
2025-06-25,0.8,0.2,fixed,1238.7051150000002,1258.6343317037044,76945.1590889,47287.88434068661,65.7204156666669,443.27057042450156,47731.15491111111,2221.8622633456844,0,0.0
2025-06-26,0.8,0.2,fixed,1258.6343317037044,1200.0,77966.6596756,48156.04723878594,209.07779653333313,1194.882217347084,49350.929456133024,6508.972032966259,0,0.0
2025-06-27,0.8,0.2,fixed,1200.0,1511.9690845555597,33135.8464064,18568.22916284112,0.0,0.0,18568.22916284112,10527.056852079015,0,0.0
2025-06-28,0.8,0.2,fixed,1511.9690845555597,1475.2999931481502,32687.8255894,18256.00036883112,0.0,0.0,18256.00036883112,8657.911496127577,0,0.0
2025-06-29,0.8,0.2,fixed,1475.2999931481502,1583.9049562962975,78265.0822,48494.4920901823,7.269620000000032,49.008297469166884,48543.50038765147,5032.425918539097,0,0.0
2025-06-30,0.8,0.2,fixed,1583.9049562962975,1410.0269665185206,78182.281319,48494.6369653196,113.64181200000019,769.0215549063347,49263.65852022594,4846.292079008236,0,0.0
2025-07-01,0.8,0.2,fixed,1410.0269665185206,1200.0,77557.63938,47743.1593540973,6382.599218633326,32853.97263533745,80597.13198943474,1260.9875545967134,0,0.0
2025-07-02,0.8,0.2,fixed,1200.0,1200.0,84119.222605,52485.9219041713,1772.7871076333327,8968.236912699782,61454.15881687108,9458.252695905354,0,0.0
2025-07-03,0.8,0.2,fixed,1200.0,1228.3437840000001,86946.041066,54611.2403155496,1263.4034302666646,6275.805792970305,60887.046108519906,4154.068181925924,0,0.0
2025-07-04,0.8,0.2,fixed,1228.3437840000001,1200.0,35707.824895,20439.6242319433,5464.502625733332,23291.55166019516,43731.17589213846,9792.977437818925,0,0.0
2025-07-05,0.8,0.2,fixed,1200.0,1200.0,38559.689739,22074.362297862397,3122.3738410666638,15664.581005762257,37738.943303624656,10454.774997975308,0,0.0
2025-07-06,0.8,0.2,fixed,1200.0,1200.0,82544.408442,51644.0812879356,3264.9999885666602,19897.47882319604,71541.56011113164,1830.1813861728424,0,0.0
2025-07-07,0.8,0.2,fixed,1200.0,1200.0,84448.1510955,52970.35870976305,741.7108233666645,3108.254260868805,56078.61297063185,8239.52093451235,0,0.0
2025-07-08,0.8,0.2,fixed,1200.0,1200.0,82669.862547,51766.7524987924,1413.0022676333267,8475.965637172058,60242.71813596445,4386.271845102881,0,0.0
2025-07-09,0.8,0.2,fixed,1200.0,1200.0,81286.674477,50791.5835011574,903.226818199996,4853.406437327379,55644.98993848478,4072.6627287242823,0,0.0
2025-07-10,0.8,0.2,fixed,1200.0,1270.225743,81325.12383,50797.046403047,1147.5227209666637,5273.937048111264,56070.98345115827,5325.010234526746,0,0.0
2025-07-11,0.8,0.2,fixed,1270.225743,1536.078483,43791.077835050004,25177.795396029338,860.8511364999988,5247.425844490658,30425.221240519997,9276.817241058234,0,0.0
2025-07-12,0.8,0.2,fixed,1536.078483,1200.0,40245.676315000004,23631.4858013261,1424.4680435999967,6783.361506253885,30414.847307579985,8448.33679581893,0,0.0
2025-07-13,0.8,0.2,fixed,1200.0,1200.0,81388.79702,50954.383099617,598.2241054999986,2968.005465171427,53922.38856478843,8919.819678888894,0,0.0
2025-07-14,0.8,0.2,fixed,1200.0,1253.1626760000001,80263.47054000001,50145.2111545,901.8039934333308,4995.855882748987,55141.067037248984,5584.284644773667,0,0.0
