date,official,soc0_actual,soc24_actual,soc24_plan,purchase_kwh,plan_cost,emergency_kwh,emergency_slots,emergency_cost,total_cost,curtail_kwh
2025-04-25,True,2019.7306951111113,2163.924123481483,1200.0,28156.305800000002,10545.806470424199,0.0,0,0.0,10545.806470424199,22943.242726707816
2025-04-26,True,2163.924123481483,1987.519709777781,1200.0,27725.172154,10243.198558105,0.0,0,0.0,10243.198558105,24823.316030810704
2025-04-27,True,1987.519709777781,1795.6740210370356,1200.0,58058.402576,33610.7785997896,0.0,0,0.0,33610.7785997896,5930.159427514408
2025-04-28,True,1795.6740210370356,1585.6560120000006,1200.0,57814.952155,34584.05834277101,2488.656320466664,6,16093.653646910283,50677.711989681295,731.5081846913602
2025-04-29,True,1585.6560120000006,1608.0036210370374,1200.0,56965.8494576,32715.961817874722,874.9358520999969,2,5755.831486624096,38471.79330449882,6774.86556460906
2025-04-30,True,1608.0036210370374,1480.3579973703713,1200.0,57643.205342999994,33294.961107633295,0.0,0,0.0,33294.961107633295,6077.521735921815
2025-05-01,True,1480.3579973703713,1218.7573200000002,1200.0,58445.02708500001,35021.37082032779,1930.2649476666652,22,9747.052120773875,44768.42294110167,5763.779812736635
2025-05-02,True,1218.7573200000002,1261.7625842222224,1200.0,29899.720674,12281.4103520738,370.8385540999988,4,2000.9449607333434,14282.355312807143,12633.309342185185
2025-05-03,True,1261.7625842222224,1268.7538356666669,1200.0,29109.737715299998,11791.93769483047,346.43208333333155,7,1522.478031406658,13314.415726237128,17792.036878057614
2025-05-04,True,1268.7538356666669,1214.3284992222223,1200.0,61986.946670000005,37578.374012718,687.6335507999985,14,3632.7556425345415,41211.12965525254,7570.30154366255
2025-05-05,True,1214.3284992222223,2148.057722555558,1200.0,65103.804110000005,39695.81677569299,0.0,0,0.0,39695.81677569299,5017.656366255151
2025-05-06,True,2148.057722555558,1625.9045470370372,1200.0,61300.083873,37849.8364853048,0.0,0,0.0,37849.8364853048,5113.218767032926
2025-05-07,True,1625.9045470370372,1643.9665261481503,1200.0,62732.28268999999,38691.281657944,0.0,0,0.0,38691.281657944,3863.7750864609034
2025-05-08,True,1643.9665261481503,2560.781627851853,1200.0,65161.13799559999,40464.05189740698,82.43748333333338,2,572.7872274833337,41036.83912489031,4614.134598683131
2025-05-09,True,2560.781627851853,3645.8159140740754,1200.0,31166.894082499995,13841.525343764799,0.0,0,0.0,13841.525343764799,18871.65197797325
2025-05-10,True,3645.8159140740754,2599.33769051852,1200.0,29288.830390900002,12903.942259085608,0.0,0,0.0,12903.942259085608,15552.165397596707
2025-05-11,True,2599.33769051852,1775.9949738185205,1200.0,64100.58740197,39442.7772091432,53.16201666666677,3,357.5388278916674,39800.31603703486,5838.739964925936
2025-05-12,True,1775.9949738185205,2361.5234563333365,1200.0,65386.825637,40211.623936944605,0.0,0,0.0,40211.623936944605,9540.787855728402
2025-05-13,True,2361.5234563333365,1383.792442666667,1200.0,61229.589415999995,36642.6808595974,259.3007371666665,6,1576.2929270660156,38218.97378666342,5632.578494477378
2025-05-14,True,1383.792442666667,1649.63428851852,1200.0,63330.366484,38041.801060676,0.0,0,0.0,38041.801060676,6604.828991687247
2025-05-15,True,1649.63428851852,2236.9352564444453,1200.0,64435.08842,39094.41840106099,0.0,0,0.0,39094.41840106099,7275.225276337451
2025-05-16,True,2236.9352564444453,2127.9119160740743,1200.0,29028.128446299997,12242.69796290156,0.0,0,0.0,12242.69796290156,23684.926991649794
2025-05-17,True,2127.9119160740743,1973.7068764074095,1200.0,28754.58887462,12117.195550860024,0.0,0,0.0,12117.195550860024,15983.734702558271
2025-05-18,True,1973.7068764074095,2231.391658111113,1200.0,62494.84448,38078.42490989,5.236666666666679,1,34.42846500000008,38112.85337489,4987.997700370377
2025-05-19,True,2231.391658111113,1736.006841333333,1200.0,62034.836630000005,36909.069664734,79.23650000000009,2,550.829460833334,37459.89912556733,11585.125134362146
2025-05-20,True,1736.006841333333,1273.9873980000011,1200.0,59430.310698,35761.1980709972,13.74297816666774,1,91.8855520223405,35853.083623019535,1938.672177736623
2025-05-21,True,1273.9873980000011,1344.8015098148178,1200.0,61360.059407,36973.826669878996,0.0,0,0.0,36973.826669878996,6427.933337407412
2025-05-22,True,1344.8015098148178,2318.46633251852,1200.0,61730.812159999994,37234.650500668,2.57000000000005,1,16.86434000000033,37251.514840668,6388.474263662554
