slot,start_min,end_min,price_yuan_per_kwh,load_kw,pv_kw,net_kw,purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,curtail_kwh,soc_end_kwh,soc0_kwh,date,policy
63,620,630,0.9588,6445.2772,6774.004,-328.7268,0,54.7878,0,0,0,3461.239174,2118.066053,2025-03-20,D_pv7d_adaptive
64,630,640,0.9549,6473.61,6879.075,-405.465,0,67.5775,0,0,0,3522.058924,2118.066053,2025-03-20,D_pv7d_adaptive
65,640,650,0.9839,6454.2353,7268.5137,-814.2784,0,135.7130667,0,0,0,3644.200684,2118.066053,2025-03-20,D_pv7d_adaptive
66,650,660,0.799,6352.336,7455.3554,-1103.0194,0,183.8365667,0,0,0,3809.653594,2118.066053,2025-03-20,D_pv7d_adaptive
67,660,670,0.5025,6279.9,7263,-983.1,816.82699,833.3333333,0,0,147.3436567,4559.653594,2118.066053,2025-03-20,D_pv7d_adaptive
68,670,680,0.4662,6362.0436,7021.6679,-659.6243,802.17364,833.3333333,0,0,78.77769,5309.653594,2118.066053,2025-03-20,D_pv7d_adaptive
69,680,690,0.5007,6393.8373,7052.8842,-659.0469,784.49621,833.3333333,0,0,61.00402667,6059.653594,2118.066053,2025-03-20,D_pv7d_adaptive
70,690,700,0.4827,6360.1,7317.5625,-957.4625,759.23438,833.3333333,0,0,85.47813,6809.653594,2118.066053,2025-03-20,D_pv7d_adaptive
71,700,710,0.4785,6424.0276,7505.6333,-1081.6057,765.51956,833.3333333,0,0,112.4538433,7559.653594,2118.066053,2025-03-20,D_pv7d_adaptive
72,710,720,0.4662,6379.6216,7635.0323,-1255.4107,745.72261,833.3333333,0,0,121.6243933,8309.653594,2118.066053,2025-03-20,D_pv7d_adaptive
73,720,730,0.4432,6168.32,7818.45,-1650.13,694.32336,833.3333333,0,0,136.0116933,9059.653594,2118.066053,2025-03-20,D_pv7d_adaptive
74,730,740,0.4411,5958.8116,8082.9395,-2124.1279,687.56833,833.3333333,0,0,208.2563133,9809.653594,2118.066053,2025-03-20,D_pv7d_adaptive
75,740,750,0.4551,5855.2299,8090.5707,-2235.3408,681.29846,833.3333333,0,0,220.5219267,10559.65359,2118.066053,2025-03-20,D_pv7d_adaptive
76,750,760,0.4463,5883.66,7709.3625,-1825.7025,659.69962,267.0515617,0,0,696.9318083,10800,2118.066053,2025-03-20,D_pv7d_adaptive
77,760,770,0.4113,6006.2794,7205.256,-1198.9766,688.50522,0,0,0,888.3346533,10800,2118.066053,2025-03-20,D_pv7d_adaptive
78,770,780,0.5682,6168.3548,7206.9442,-1038.5894,732.14236,0,0,0,905.2405933,10800,2118.066053,2025-03-20,D_pv7d_adaptive
79,780,790,0.8279,6351.38,7525.8,-1174.42,0,0,0,0,195.7366667,10800,2118.066053,2025-03-20,D_pv7d_adaptive
80,790,800,0.8636,6510.6216,7339.075,-828.4534,0,0,0,0,138.0755667,10800,2118.066053,2025-03-20,D_pv7d_adaptive
81,800,810,0.8416,6358.8315,6900.6338,-541.8023,0,0,0,0,90.30038333,10800,2118.066053,2025-03-20,D_pv7d_adaptive
82,810,820,0.8618,6039.3,6610.0125,-570.7125,0,0,0,0,95.11875,10800,2118.066053,2025-03-20,D_pv7d_adaptive
83,820,830,0.8623,6028.9848,6642.1795,-613.1947,0,0,0,0,102.1991167,10800,2118.066053,2025-03-20,D_pv7d_adaptive
84,830,840,0.9026,6177.7813,6806.5377,-628.7564,0,0,0,0,104.7927333,10800,2118.066053,2025-03-20,D_pv7d_adaptive
85,840,850,0.9754,6280.02,6799.95,-519.93,0,0,0,0,86.655,10800,2118.066053,2025-03-20,D_pv7d_adaptive
86,850,860,1.0002,6283.4823,6453.6137,-170.1314,0,0,0,0,28.35523333,10800,2118.066053,2025-03-20,D_pv7d_adaptive
87,860,870,0.9978,6314.912,6203.5886,111.3234,0,0,18.5539,0,0,10779.38456,2118.066053,2025-03-20,D_pv7d_adaptive
88,870,880,1.0271,6352.79,6115.6875,237.1025,0,0,39.51708333,0,0,10735.47669,2118.066053,2025-03-20,D_pv7d_adaptive
89,880,890,1.0906,6259.4213,5837.6616,421.7597,0,0,70.29328333,0,0,10657.37304,2118.066053,2025-03-20,D_pv7d_adaptive
90,890,900,0.9376,6190.1146,5431.9635,758.1511,0,0,126.3585167,0,0,10516.97469,2118.066053,2025-03-20,D_pv7d_adaptive
91,900,910,0.6694,6156.64,5072.775,1083.865,1035.0078,314.472572,0,0,539.8910613,10800,2118.066053,2025-03-20,D_pv7d_adaptive
92,910,920,0.66,6039.3659,4855.4545,1183.9114,1105.4926,0,0,0,908.1740333,10800,2118.066053,2025-03-20,D_pv7d_adaptive
93,920,930,0.7217,6054.6789,4561.8383,1492.8406,301.90397,0,0,0,53.09720333,10800,2118.066053,2025-03-20,D_pv7d_adaptive
94,930,940,0.7308,6187.68,4146.825,2040.855,368.34284,0,0,0,28.20034,10800,2118.066053,2025-03-20,D_pv7d_adaptive
95,940,950,0.7534,6195.3721,3778.6785,2416.6936,431.47857,0,0,0,28.69630333,10800,2118.066053,2025-03-20,D_pv7d_adaptive
96,950,960,0.7823,6186.1376,3471.4229,2714.7147,476.34506,0,0,0,23.89261,10800,2118.066053,2025-03-20,D_pv7d_adaptive
97,960,970,0.8055,6200.17,3156.225,3043.945,493.72327,0,13.60089667,0,0,10784.88789,2118.066053,2025-03-20,D_pv7d_adaptive
98,970,980,0.8271,6153.3743,2779.805,3373.5693,557.11526,0,5.14629,0,0,10779.16979,2118.066053,2025-03-20,D_pv7d_adaptive
99,980,990,0.8519,6101.7592,2507.3559,3594.4033,619.30325,20.23603333,0,0,0,10797.38222,2118.066053,2025-03-20,D_pv7d_adaptive
100,990,1000,0.8791,6118.95,2334.4125,3784.5375,679.30109,2.908641564,0,0,45.63619844,10800,2118.066053,2025-03-20,D_pv7d_adaptive
101,1000,1010,0.9024,6209.4949,2077.0816,4132.4133,723.6005,0,0,0,34.86495,10800,2118.066053,2025-03-20,D_pv7d_adaptive
102,1010,1020,0.9163,6190.199,1733.8533,4456.3457,774.00821,0,0,0,31.28392667,10800,2118.066053,2025-03-20,D_pv7d_adaptive
103,1020,1030,0.9264,6102.19,1377.7125,4724.4775,827.73337,0,0,0,40.32045333,10800,2118.066053,2025-03-20,D_pv7d_adaptive
104,1030,1040,0.9462,6143.2969,1083.9022,5059.3947,892.38354,0,0,0,49.15109,10800,2118.066053,2025-03-20,D_pv7d_adaptive
105,1040,1050,0.9742,6075.0134,831.8823,5243.1311,936.29043,0,0,0,62.43524667,10800,2118.066053,2025-03-20,D_pv7d_adaptive
106,1050,1060,0.9862,6025.68,597.3375,5428.3425,987.66903,0,0,0,82.94528,10800,2118.066053,2025-03-20,D_pv7d_adaptive
107,1060,1070,0.976,6213.4416,374.8971,5838.5445,1061.194,0,0,0,88.10325,10800,2118.066053,2025-03-20,D_pv7d_adaptive
108,1070,1080,1.0742,5394.1467,156.1276,5238.0191,952.4554,0,0,0,79.45221667,10800,2118.066053,2025-03-20,D_pv7d_adaptive
109,1080,1090,1.2313,4094.12,0,4094.12,750.15704,0,0,0,67.80370667,10800,2118.066053,2025-03-20,D_pv7d_adaptive
110,1090,1100,1.2561,4187.9837,0,4187.9837,721.27385,0,0,0,23.27656667,10800,2118.066053,2025-03-20,D_pv7d_adaptive
111,1100,1110,1.2447,4441.4267,5.5774,4435.8493,752.19758,0,0,0,12.88936333,10800,2118.066053,2025-03-20,D_pv7d_adaptive
112,1110,1120,1.2545,4255.45,0,4255.45,756.20648,0,0,0,46.96481333,10800,2118.066053,2025-03-20,D_pv7d_adaptive
