date,official,q_load,q_pv,q_source,feature_value,feature_percentile,soc0_actual,soc24_actual,soc24_plan,purchase_kwh,plan_cost,emergency_kwh,emergency_slots,emergency_cost,total_cost,curtail_kwh,q_min,k,label
2025-03-07,True,0.9,0.1,rule,349.00357098889407,0.9117647058823529,2406.410497814817,2976.8493576296287,1200.0,39383.123013000004,16674.5383950519,0.0,0,0.0,16674.5383950519,14920.691559913581,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-03-08,True,0.9,0.1,rule,366.9897731246558,0.9714285714285714,2976.8493576296287,2848.052226481484,1200.0,33993.52685677,14729.38215264729,0.0,0,0.0,14729.38215264729,12268.358079486048,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-03-09,True,0.9,0.1,rule,363.2763279635316,0.9444444444444444,2848.052226481484,2320.9834048518533,1200.0,80457.554497,52067.9811382633,0.0,0,0.0,52067.9811382633,14084.127967765438,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-03-10,True,0.9,0.1,rule,337.09433666547693,0.8108108108108109,2320.9834048518533,2292.6116629259295,1200.0,79883.53052520001,53399.51925671793,0.0,0,0.0,53399.51925671793,8122.547246578601,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-03-11,True,0.9,0.1,rule,312.0000336668382,0.7894736842105263,2292.6116629259295,1938.538816592596,1200.0,75062.43279980001,48496.37817381302,0.0,0,0.0,48496.37817381302,7858.570276006588,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-03-12,True,0.9,0.1,rule,309.96361883866666,0.7692307692307693,1938.538816592596,2091.5067970740765,1200.0,77136.7301858,48986.41753514935,0.0,0,0.0,48986.41753514935,10958.839959314,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-03-13,True,0.9,0.1,rule,311.0765744198616,0.775,2091.5067970740765,2320.0499430740747,1200.0,79069.307216,52061.3461578939,0.0,0,0.0,52061.3461578939,7327.998090967078,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-03-14,True,0.9,0.1,rule,342.4792806874922,0.8536585365853658,2320.0499430740747,3189.325684000001,1200.0,35345.755604,14934.8809172269,0.0,0,0.0,14934.8809172269,15514.03668749794,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-03-15,True,0.9,0.1,rule,342.22687834419185,0.8095238095238095,3189.325684000001,2183.736947703705,1200.0,32866.208126800004,14295.20093607332,0.0,0,0.0,14295.20093607332,10431.201266553091,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-03-16,True,0.9,0.1,rule,350.48803144494593,0.8837209302325582,2183.736947703705,2576.211158481485,1200.0,77851.381667,50106.369096200695,1.6400000000001,1,8.081100000000493,50114.4501962007,10603.307410251036,0.8,0.1,resid_vol7_qmin0.80_k0.10
