date,total_cost,plan_cost,emergency_cost,emergency_kwh
2025-04-05,12167.195171521256,10564.0571117531,856.7455136788565,269.11119533333067
2025-04-06,40320.75707201616,37696.1697797675,2244.7637591924617,371.6699370999992
2025-04-07,37399.947062711406,32776.9249225574,1458.932605023103,293.12816973333094
2025-04-08,38103.60361279099,35268.04014904999,610.4295206672954,151.96434906666624
2025-04-09,42431.79486915672,36656.762933023994,3213.5200316637306,541.5884196333303
2025-04-10,39226.548489792614,37053.68126892339,1497.130407278521,260.581989099998
2025-04-11,11314.497176239212,9998.358387730499,328.3047227514987,140.7075769999995
2025-04-12,10542.636763809463,10382.0705691734,277.4647453443146,76.86500326666601
2025-04-13,37151.43181252181,34753.1912335181,918.0660529547201,163.67329123333093
2025-04-14,36893.12784226004,36588.916222975,1605.9043585416382,246.77746577666358
2025-04-15,35351.307563904855,29694.416060005602,176.7260034057006,32.26563273332833
2025-04-16,39910.812803971225,34099.680684755804,2032.6182002855294,348.94800673332986
2025-04-17,37864.754123871,32531.1214684048,1553.2113836843967,237.71217993333283
2025-04-18,10707.409099860799,10203.1982390944,0.0,0.0
2025-04-19,10559.190938323,9573.1521480702,0.0,0.0
2025-04-20,35398.96020547055,32375.209585576198,0.0,0.0
2025-04-21,34896.45153128023,33681.4067234306,1808.94947941693,361.78364789999944
2025-04-22,36334.215037108195,29768.706831933,0.0,0.0
2025-04-23,36894.21186322396,29669.057657915,1066.038217314591,170.03164859999856
2025-04-24,35282.88903824972,31104.4996324109,2517.615011546369,388.9328035333335
2025-04-25,10194.83996596223,9456.37503699572,766.7567965749614,234.28617179999853
2025-04-26,10826.11004942279,9332.615285909,866.3916099970401,255.64128356666401
2025-04-27,35217.74622085692,30082.572373083698,1648.452428295919,283.47314393333085
2025-04-28,40126.89430972278,36190.600519314,799.3660416971811,163.89368776666612
2025-04-29,34338.51034335392,28651.6805584057,670.9109289049752,101.37668916666291
2025-04-30,33901.23991786164,28150.841704679,2693.2407995609365,468.8939094666613
2025-05-01,49901.54885917911,31635.738275612,13810.422634173308,2713.646789999996
2025-05-02,15351.08333602317,11710.064677860699,3235.083250269023,775.3807960333312
2025-05-03,16234.540242313873,10586.4211060126,5109.9705184377635,1125.2286067333325
2025-05-04,42442.3208690645,33943.760805596794,7687.796178696448,1470.8931382333349
2025-05-05,39729.65105989639,37058.686710265305,2727.579033593579,425.6100190333301
2025-05-06,39687.706512475685,31857.4523445597,204.71518179153608,88.20385103333453
2025-05-07,41454.789201628875,34412.827279464,1993.4653418463813,317.83674239999965
2025-05-08,38892.8280299218,37719.0285174706,475.54781521865766,72.6692871666653
2025-05-09,12989.81325593954,12711.3953721992,0.0,0.0
2025-05-10,11755.234130696554,11431.845893518697,138.43553396273026,74.26811559999825
2025-05-11,41861.29473211931,35510.13018793,3310.5910441583083,485.149186666663
2025-05-12,38417.653941136254,31938.6072202644,222.41014614095417,46.02188103333076
2025-05-13,39624.78228463056,33700.871549179996,3144.866334645907,497.8699242999985
2025-05-14,37278.21388850639,33971.87394596399,762.4871237396148,219.2537452333329
2025-05-15,37793.6439261,35607.080794559995,61.84753150000003,28.435646666666685
2025-05-16,12089.577115328308,11122.3220517091,757.118681574307,335.67985953333476
2025-05-17,13021.2686822045,10975.5110784647,1092.413657329299,215.82643366666093
2025-05-18,37647.51943677284,37092.174202248796,34.42846500000008,5.236666666666679
2025-05-19,37179.621638033175,32540.312273341002,3595.831711617922,554.5472122666649
2025-05-20,40146.42889693672,31616.474062211906,2707.0920696286616,467.6430261666624
2025-05-21,38758.82000223587,31082.628882358098,1707.803868212796,385.52352789999895
2025-05-22,36017.85116945856,33223.79644509605,1261.2973743521893,207.2474509000009
2025-05-23,12332.554193273514,10619.230513127699,570.7713016413168,133.7073539999954
2025-05-24,11697.429887071718,11112.0800575986,334.66366470166815,77.92954000000036
2025-05-25,36292.425117921244,33180.532905704604,1606.2480496795401,268.9452835333317
2025-05-26,40019.7669428072,32244.883495469,1497.7788026501958,261.2199947333301
2025-05-27,36224.66132223963,30074.1886572364,562.4619561212356,90.93156223333091
2025-05-28,36673.05686810932,33056.57714174301,389.7567373381584,64.58704256666508
2025-05-29,42483.46505332556,33776.9925880103,1617.6060724856147,242.95850409999963
2025-05-30,11742.057806018149,11263.6252920853,0.0,0.0
2025-05-31,11768.35176989901,11432.8694953694,727.4466828450104,140.08216500000202
2025-06-01,67793.52508812306,48032.678786600394,10903.775547834677,2258.4329255199946
2025-06-02,57478.30636583683,52158.98253594594,4896.6697766159405,1072.0617319999983
2025-06-03,61175.24799839834,45804.727924664,8708.413607120538,1431.4885023999977
2025-06-04,56631.18146297151,56122.93340951906,2031.238052808503,359.56284040000037
2025-06-05,56087.99838820875,49379.22463351012,1990.6426882145638,344.1471777999963
2025-06-06,27670.06113111801,15676.600576258199,8141.17216676936,2224.307280466665
2025-06-07,20926.120627502576,17794.668858130797,2784.7908978654323,451.8410877333324
2025-06-08,49677.397784463006,48053.4027676019,53.26724692500071,7.63549566666677
2025-06-09,55789.28724639971,54709.041008487606,1911.0701786936586,273.9724159999988
2025-06-10,57062.108058725,48976.05300818846,2553.559269889794,570.6019832666655
2025-06-11,59740.02413806533,52481.59551894468,218.16764333339984,80.3825395999996
2025-06-12,54528.06607120639,52730.300999172294,6.910471004999897,0.9846529999999802
2025-06-13,18456.708914441067,18765.48484345003,0.0,0.0
2025-06-14,18868.612396013363,17573.1310771077,1280.1002160602102,217.2338959666656
2025-06-15,54218.57097885445,48553.330924666596,321.901884275834,46.436249666666754
