date,total_cost,plan_cost,emergency_cost,emergency_kwh,beta_lock,beta_open,label
2025-05-30,12152.724040561241,11287.704431841299,0.0,0.0,2.0,0.0,LA_bl2_bo0
2025-05-31,11205.04349453319,11393.8960381544,0.0,0.0,2.0,0.0,LA_bl2_bo0
2025-06-01,68072.14461757388,48063.826392784395,10000.908653027911,2126.752491653333,2.0,0.0,LA_bl2_bo0
2025-06-02,57479.997873446424,52192.17846953895,3964.4554446031434,935.5135655999986,2.0,0.0,LA_bl2_bo0
2025-06-03,62240.38701080636,45838.69808936401,7680.1742869960435,1289.324485399999,2.0,0.0,LA_bl2_bo0
2025-06-04,57441.67160572124,56157.75409899905,1782.1149991543375,316.0642048666673,2.0,0.0,LA_bl2_bo0
2025-06-05,58383.42522138717,49413.460670036126,1694.0806065451966,276.69033519999806,2.0,0.0,LA_bl2_bo0
2025-06-06,26717.456972832166,15702.0758059172,7246.815789724866,2083.163687466666,2.0,0.0,LA_bl2_bo0
2025-06-07,20602.184651675958,17819.686313285798,1889.605407685563,311.92463099999867,2.0,0.0,LA_bl2_bo0
2025-06-08,50691.53919994616,48085.634669849904,53.26724692500071,7.63549566666677,2.0,0.0,LA_bl2_bo0
2025-06-09,56846.97567397991,54674.042020615605,1769.1570390976622,253.74936133333267,2.0,0.0,LA_bl2_bo0
2025-06-10,59112.245895383276,49007.812900360455,2260.178436739804,521.5096966000006,2.0,0.0,LA_bl2_bo0
2025-06-11,61136.163525810836,52511.403282234685,218.16764333339984,80.3825395999996,2.0,0.0,LA_bl2_bo0
2025-06-12,57133.77658347034,52694.99235652629,6.910471004999897,0.9846529999999802,2.0,0.0,LA_bl2_bo0
2025-06-13,18601.64062674453,18756.03420955003,0.0,0.0,2.0,0.0,LA_bl2_bo0
2025-06-14,18587.682237195873,17544.7499503887,718.8469010966677,126.32058666666683,2.0,0.0,LA_bl2_bo0
2025-06-15,56470.70795671839,48585.1322313466,239.19446965183363,34.748633666666706,2.0,0.0,LA_bl2_bo0
2025-06-16,59012.20953046513,50738.0206773868,773.1550152818332,115.70971233333327,2.0,0.0,LA_bl2_bo0
2025-06-17,61892.47139251276,50818.122616188695,1988.488551431411,470.81429923333206,2.0,0.0,LA_bl2_bo0
2025-06-18,57520.639244687336,50941.6367591414,77.7728983648338,11.502314333333402,2.0,0.0,LA_bl2_bo0
2025-06-19,55972.16459090537,47347.74661948587,1186.8384224041686,170.7021276666669,2.0,0.0,LA_bl2_bo0
2025-06-20,16998.026571909497,16834.812293341798,5.671178299597873,2.9629980666655555,2.0,0.0,LA_bl2_bo0
2025-06-21,17455.434545985583,16344.565558833901,478.1853421569325,249.25859019999962,2.0,0.0,LA_bl2_bo0
2025-06-22,54008.67487498496,46211.09131080349,323.28575480921813,47.47599670000022,2.0,0.0,LA_bl2_bo0
2025-06-23,51763.63819061467,47170.871193895815,1030.8992115840847,293.0962419,2.0,0.0,LA_bl2_bo0
2025-06-24,60867.753213844575,55808.87829599129,665.8218299222348,109.81040986666683,2.0,0.0,LA_bl2_bo0
2025-06-25,56753.05704446384,46912.3136863745,295.1481968863343,42.5194436666668,2.0,0.0,LA_bl2_bo0
2025-06-26,52903.51805136264,45751.909687456915,1169.137547495549,208.62297019999954,2.0,0.0,LA_bl2_bo0
2025-06-27,17476.510291924722,16341.774295774598,1616.8739188492746,326.9509659333319,2.0,0.0,LA_bl2_bo0
2025-06-28,16707.410592386477,15603.569343226201,312.7807957893169,73.37042136666668,2.0,0.0,LA_bl2_bo0
2025-06-29,56629.9289866528,45644.495140361,626.6727066808967,222.88685846666507,2.0,0.0,LA_bl2_bo0
2025-06-30,53177.496474038504,49175.3918227559,834.8214221965018,118.59820300000024,2.0,0.0,LA_bl2_bo0
2025-02-01,17615.3519939422,18274.9597875929,0.0,0.0,2.0,0.2,LA_bl2_bo0.2
2025-02-02,62673.420999903145,60511.15897264249,2325.732424405003,367.30768250000045,2.0,0.2,LA_bl2_bo0.2
2025-02-03,65037.55801596211,60450.9425203684,3499.8745924154073,554.6574164999985,2.0,0.2,LA_bl2_bo0.2
2025-02-04,64739.9149572339,62246.754289202,0.0,0.0,2.0,0.2,LA_bl2_bo0.2
2025-02-05,66922.84156149527,57062.72693967549,2087.214528276824,333.8533771333343,2.0,0.2,LA_bl2_bo0.2
2025-02-06,64040.66592409882,65183.58474266525,331.6681727920021,53.95922500000029,2.0,0.2,LA_bl2_bo0.2
2025-02-07,18409.517942949165,18885.379548893998,372.64837755833145,93.13913333333284,2.0,0.2,LA_bl2_bo0.2
2025-02-08,16292.55969104015,14416.9775031215,0.0,0.0,2.0,0.2,LA_bl2_bo0.2
2025-02-09,64139.939891879454,59957.395735966806,892.4762120885998,174.5878037333329,2.0,0.2,LA_bl2_bo0.2
2025-02-10,56015.78948551733,54198.719234575794,193.78502329133457,45.08211263333362,2.0,0.2,LA_bl2_bo0.2
2025-02-11,59024.97576542957,53367.45993551054,946.3955836724843,179.44899760000018,2.0,0.2,LA_bl2_bo0.2
2025-02-12,57557.44268160975,54759.75653573475,2093.3283933798675,389.5774278000001,2.0,0.2,LA_bl2_bo0.2
2025-02-13,54137.37800305145,51826.972887836695,322.3295359844604,64.30274533333218,2.0,0.2,LA_bl2_bo0.2
2025-02-14,15787.236288330652,14773.258571236702,0.0,0.0,2.0,0.2,LA_bl2_bo0.2
2025-02-15,16290.503049581426,15350.3993032779,414.9378173435272,140.37468323333167,2.0,0.2,LA_bl2_bo0.2
2025-02-16,57688.256546012075,57453.9932962136,301.6335436918234,59.40823846666469,2.0,0.2,LA_bl2_bo0.2
2025-02-17,55598.82673116433,56068.22574304241,1459.4265716232158,245.44149189999678,2.0,0.2,LA_bl2_bo0.2
2025-02-18,56220.0018815606,45851.74412583336,148.29606488933473,29.704769333333616,2.0,0.2,LA_bl2_bo0.2
2025-02-19,56267.231368445646,47461.030370664,1151.3981370685447,240.06165846666124,2.0,0.2,LA_bl2_bo0.2
2025-02-20,54001.74676292529,53106.634119123235,449.10632557903347,85.35329713333329,2.0,0.2,LA_bl2_bo0.2
2025-02-21,14931.7177786018,14665.4345544666,0.0,0.0,2.0,0.2,LA_bl2_bo0.2
2025-02-22,15565.204321540448,14550.6969733009,0.0,0.0,2.0,0.2,LA_bl2_bo0.2
2025-02-23,54430.42580359197,51372.3605033642,477.7808062005411,107.00566426666504,2.0,0.2,LA_bl2_bo0.2
2025-02-24,50710.01580693718,48843.594759098894,1031.3849430102864,209.10600749999776,2.0,0.2,LA_bl2_bo0.2
2025-02-25,49525.76070723461,47162.0720662409,1018.7681696271554,215.66148243333149,2.0,0.2,LA_bl2_bo0.2
2025-02-26,52759.92567339125,44077.24861446781,151.82936445049995,29.693896333333328,2.0,0.2,LA_bl2_bo0.2
2025-02-27,48948.68241525844,45427.32576235799,1007.3324982415414,175.2313130333346,2.0,0.2,LA_bl2_bo0.2
2025-02-28,14174.656724397999,13876.0412318356,0.0,0.0,2.0,0.2,LA_bl2_bo0.2
2025-03-01,16235.664889758988,14810.027824739002,2109.3633084145376,461.9527143300015,2.0,0.2,LA_bl2_bo0.2
2025-03-02,59690.24152529262,52437.151582443,5582.001638081469,1015.7392312999974,2.0,0.2,LA_bl2_bo0.2
2025-03-03,54799.9274462032,52692.46488064001,1259.1675106972398,290.18810296666487,2.0,0.2,LA_bl2_bo0.2
2025-03-04,51853.28518756933,43884.890453169595,3.1064865000005213,0.6247333333334382,2.0,0.2,LA_bl2_bo0.2
2025-03-05,46843.36389198884,46251.701839127,330.8653474758415,51.834691666667936,2.0,0.2,LA_bl2_bo0.2
2025-03-06,47467.58078369337,44491.757590479,603.4215725158679,195.59240109999485,2.0,0.2,LA_bl2_bo0.2
2025-03-07,15037.207640053575,14080.7881941187,1597.2101149058253,407.08476916666444,2.0,0.2,LA_bl2_bo0.2
2025-03-08,14236.97887835425,12343.1487005809,0.0,0.0,2.0,0.2,LA_bl2_bo0.2
2025-03-09,46445.44263567499,45449.0158312495,0.0,0.0,2.0,0.2,LA_bl2_bo0.2
2025-03-10,51910.532131343694,44945.886332482,1494.2414057460487,281.3413577333303,2.0,0.2,LA_bl2_bo0.2
2025-03-11,49093.4475122796,35972.371615674,0.0,0.0,2.0,0.2,LA_bl2_bo0.2
2025-03-12,44826.59495645552,43147.6353324098,175.51839125191955,36.126045333316775,2.0,0.2,LA_bl2_bo0.2
2025-03-13,50217.509804727735,46380.42114705019,1135.7117905786517,181.69806699999765,2.0,0.2,LA_bl2_bo0.2
2025-03-14,12616.43656206425,12423.687134664,0.0,0.0,2.0,0.2,LA_bl2_bo0.2
2025-03-15,14478.530764434734,12108.050107082498,1645.7523781486461,446.2185868999989,2.0,0.2,LA_bl2_bo0.2
2025-03-16,46112.16684342955,43292.2679606775,8.081100000000493,1.6400000000001,2.0,0.2,LA_bl2_bo0.2
2025-03-17,41108.838568230814,38702.943849054005,48.38082897880364,10.018009266664649,2.0,0.2,LA_bl2_bo0.2
2025-03-18,43726.17025413975,42977.4673593475,0.0,0.0,2.0,0.2,LA_bl2_bo0.2
2025-03-19,43416.072938556,36403.46092035899,0.0,0.0,2.0,0.2,LA_bl2_bo0.2
2025-03-20,45125.06685833491,42702.56840503965,1127.754016110589,177.77491659999825,2.0,0.2,LA_bl2_bo0.2
2025-03-21,13150.856043265012,11617.55993123724,1156.675702704312,341.3644702333321,2.0,0.2,LA_bl2_bo0.2
2025-03-22,12062.48062029245,12148.9663179657,0.0,0.0,2.0,0.2,LA_bl2_bo0.2
2025-03-23,44293.26926082143,42456.779045933996,2094.7362589534337,380.3049832666669,2.0,0.2,LA_bl2_bo0.2
2025-03-24,41409.077986979515,40033.200304302394,173.65811640982582,70.60687126666338,2.0,0.2,LA_bl2_bo0.2
