date,q_load,q_pv,q_source,soc0_actual,soc24_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh,n_simultaneous_plan,max_unserved_kwh,label,feature,feature_value,feature_percentile
2025-05-07,0.85,0.15,rule,1797.118484925927,1802.45109588889,64297.62196,39146.290701922,0.0,0.0,39146.290701922,5578.1029847736645,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,1.053793816875,0.4421052631578947
2025-05-08,0.85,0.15,rule,1802.45109588889,2285.5542060370376,66714.5804902,41061.2654196929,29.81276830000013,201.42996901895089,41262.69538871185,6710.322930329217,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,1.09589819803125,0.4895833333333333
2025-05-09,0.85,0.15,rule,2285.5542060370376,3727.5482620740754,31761.345392,17771.84740074,0.0,0.0,17771.84740074,19381.910492740742,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,0.728695485546875,0.25773195876288657
2025-05-10,0.85,0.15,rule,3727.5482620740754,2770.7393094444465,29043.792652000004,16450.300811441797,0.0,0.0,16450.300811441797,16001.328610925924,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,0.7195045916718751,0.25510204081632654
2025-05-11,0.85,0.15,rule,2770.7393094444465,2011.1680523333355,65491.7072739,40092.974291407096,41.18071666666674,277.36103945833383,40370.33533086543,7468.54945086421,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,1.065183821669643,0.45454545454545453
2025-05-12,0.85,0.15,rule,2011.1680523333355,2424.114941370373,66899.987419,40719.9470275271,0.0,0.0,40719.9470275271,11436.307338794244,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,1.0450575942633928,0.42
2025-05-13,0.85,0.15,rule,2424.114941370373,1508.3304629629633,62722.5777,37781.411540621,217.03074593333133,1338.5134880365863,39119.925028657584,7318.465453374492,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,1.023754407232143,0.37623762376237624
2025-05-14,0.85,0.15,rule,1508.3304629629633,1774.3518888518513,65056.09534,39400.395372578,0.0,0.0,39400.395372578,8396.24579090536,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,1.0055323886651786,0.3431372549019608
2025-05-15,0.85,0.15,rule,1774.3518888518513,2348.4969106296303,66013.3755386,40022.81437711918,0.0,0.0,40022.81437711918,9069.996065267489,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,1.0585236050625002,0.46601941747572817
2025-05-16,0.8,0.2,rule,2348.4969106296303,2142.8047255925926,28313.9421763,15353.89238156017,0.0,0.0,15353.89238156017,23648.818201238275,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,0.688527465625,0.23076923076923078
2025-05-17,0.8,0.2,rule,2142.8047255925926,1973.7068764074095,28334.354446619996,15221.602937306678,0.0,0.0,15221.602937306678,15965.750257990368,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,0.697131916015625,0.23809523809523808
2025-05-18,0.85,0.15,rule,1973.7068764074095,2243.2655767407414,64248.4577372,39126.50649046851,5.236666666666679,35.318698333333415,39161.82518880185,6847.521238312768,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,1.0301433511964286,0.4056603773584906
2025-05-19,0.85,0.15,rule,2243.2655767407414,1929.070523851853,63571.63733,38540.298951278,67.00333333333344,451.90398166666745,38992.20293294467,13214.34675473252,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,1.0274649513214285,0.40186915887850466
2025-05-20,0.85,0.15,rule,1929.070523851853,1435.7384130000012,61053.944039099995,36980.89773514849,0.0,0.0,36980.89773514849,3633.467704119343,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,1.0300746299553571,0.4074074074074074
2025-05-21,0.85,0.15,rule,1435.7384130000012,1697.3100363703704,62753.44929999999,37948.742675919,0.0,0.0,37948.742675919,7923.357176707819,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,1.0043109400446428,0.3394495412844037
2025-05-22,0.85,0.15,rule,1697.3100363703704,2449.41661562963,63180.897247,38356.9403691325,2.57000000000005,17.333365000000338,38374.2737341325,8111.650337452679,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,1.0035785430133928,0.33636363636363636
2025-05-23,0.8,0.2,rule,2449.41661562963,2617.2706665185215,27887.211976,15076.1243466758,0.0,0.0,15076.1243466758,19112.100072090536,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,0.6943955792968751,0.22522522522522523
2025-05-24,0.8,0.2,rule,2617.2706665185215,2487.2488081481483,27594.810892,15042.843404258601,0.0,0.0,15042.843404258601,22022.05181718519,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,0.6949470106785713,0.23214285714285715
2025-05-25,0.85,0.15,rule,2487.2488081481483,2083.7126146666674,61956.805871100005,37714.73401160979,0.0,0.0,37714.73401160979,10721.223952757204,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,0.9831489052566963,0.3185840707964602
2025-05-26,0.85,0.15,rule,2083.7126146666674,2288.2159961851867,61578.8357258,37673.116629778626,0.0,0.0,37673.116629778626,3392.2922852263455,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,0.9952705320312499,0.32456140350877194
2025-05-27,0.85,0.15,rule,2288.2159961851867,1422.0228581851875,59208.192800000004,36029.418215305996,0.0,0.0,36029.418215305996,7480.280169506174,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,0.9583496406250002,0.30434782608695654
2025-05-28,0.85,0.15,rule,1422.0228581851875,1809.2386112962986,60950.79755,36771.021313589,0.0,0.0,36771.021313589,4820.0073581481565,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,0.9567352869062501,0.3017241379310345
2025-05-29,0.85,0.15,rule,1809.2386112962986,2060.612837481483,61949.07924,37548.411243655995,17.817433333333497,119.77769558333443,37668.18893923933,3808.3530789300485,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,0.9635515422968751,0.3162393162393162
2025-05-30,0.8,0.2,rule,2060.612837481483,2678.1070331481524,28399.509984999997,15343.1148897685,0.0,0.0,15343.1148897685,18905.855708971194,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,0.6974781170781249,0.23728813559322035
2025-05-31,0.85,0.15,rule,2678.1070331481524,2737.3758413703677,28006.374941,15200.5397506998,0.0,0.0,15200.5397506998,17604.613972234576,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,0.707499007328125,0.25210084033613445
2025-06-01,0.85,0.15,rule,2737.3758413703677,1200.0,62892.110736,38323.1052326414,9670.226048633329,58489.726078715365,96812.83131135677,22.80258333333336,0,0.0,peak_ratio_qmin0.80_k0.10,peak_ratio,1.0041076619866072,0.39166666666666666
