date,q_load,q_pv,q_source,feature,feature_value,feature_percentile,soc0_actual,soc24_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh,n_simultaneous_plan,max_unserved_kwh
2025-05-05,0.85,0.15,rule,resid_vol7,417.1026298305157,0.956989247311828,1239.8656464444446,2277.359588592593,66707.5839339,40565.01943785728,0.0,0.0,40565.01943785728,6732.877085967082,0,0.0
2025-05-06,0.8,0.2,rule,resid_vol7,378.75502432158567,0.8617021276595744,2277.359588592593,1635.427109925927,61018.175943,37463.1184829872,0.0,0.0,37463.1184829872,5120.16430361729,0,0.0
2025-05-07,0.8,0.2,rule,resid_vol7,380.8659935102691,0.8631578947368421,1635.427109925927,1643.1089981851867,62638.843636000005,38157.0950682334,0.0,0.0,38157.0950682334,3868.156466131686,0,0.0
2025-05-08,0.8,0.2,rule,resid_vol7,365.85182370263425,0.8020833333333334,1643.1089981851867,2135.107198011112,65056.63205401,40055.94072957361,35.999250000000075,243.2289326250005,40299.16966219861,5030.469141312761,0,0.0
2025-05-09,0.8,0.2,rule,resid_vol7,369.717031605596,0.8247422680412371,2135.107198011112,3559.178167111113,31305.059472499997,17408.93816255615,0.0,0.0,17408.93816255615,18938.046397039096,0,0.0
2025-05-10,0.8,0.2,rule,resid_vol7,332.8480274302653,0.5714285714285714,3559.178167111113,2584.3124122222252,28616.6877909,16096.92807402211,0.0,0.0,16096.92807402211,15559.901384798352,0,0.0
2025-05-11,0.8,0.2,rule,resid_vol7,347.8548082269922,0.6666666666666666,2584.3124122222252,1835.694879744446,63858.19967297,39083.93592324953,41.18071666666674,277.36103945833383,39361.29696270787,5794.3041551852,0,0.0
2025-05-12,0.8,0.2,rule,resid_vol7,341.0740498931555,0.59,1835.694879744446,2268.1889249259284,65232.10218,39686.252524330004,0.0,0.0,39686.252524330004,9721.127904448564,0,0.0
2025-05-13,0.8,0.2,rule,resid_vol7,366.12621550519697,0.801980198019802,2268.1889249259284,1443.2088593703706,61033.510339,36767.858180179595,314.34949473333245,1946.8930646973945,38714.75124487699,5619.314089041165,0,0.0
2025-05-14,0.8,0.2,rule,resid_vol7,348.79815465640957,0.6862745098039216,1443.2088593703706,1606.0152094074074,63264.34827,38334.20310986,0.0,0.0,38334.20310986,6686.054113045271,0,0.0
2025-05-15,0.8,0.2,rule,resid_vol7,347.64073141343414,0.6504854368932039,1606.0152094074074,2183.0784518888904,64338.854783,38996.8857498812,0.0,0.0,38996.8857498812,7349.513116662553,0,0.0
2025-05-16,0.8,0.2,rule,resid_vol7,338.65812267841255,0.5673076923076923,2183.0784518888904,2142.8047255925926,28497.7404663,15431.91475566517,0.0,0.0,15431.91475566517,23648.81820374856,0,0.0
2025-05-17,0.8,0.2,rule,resid_vol7,356.93949805424194,0.7523809523809524,2142.8047255925926,1973.7068764074095,28334.354446619996,15221.602937306678,0.0,0.0,15221.602937306678,15965.750257990368,0,0.0
2025-05-18,0.8,0.2,rule,resid_vol7,357.21653348180956,0.7641509433962265,1973.7068764074095,2078.595536740741,62384.9921762,38037.9802826829,5.236666666666679,35.318698333333415,38073.29898101624,5137.411163415644,0,0.0
2025-05-19,0.8,0.2,rule,resid_vol7,362.4563150003689,0.7850467289719626,2078.595536740741,1770.9598032962965,61915.22242,37545.311274316,67.00333333333344,451.90398166666745,37997.21525598267,11532.530488930042,0,0.0
2025-05-20,0.8,0.2,rule,resid_vol7,358.8790443752605,0.7777777777777778,1770.9598032962965,1273.9873980000011,59400.836888000005,36001.17078700061,13.742978166666148,95.87101569066306,36097.04180269127,1948.984188353913,0,0.0
2025-05-21,0.85,0.15,rule,resid_vol7,382.5231017965185,0.8807339449541285,1273.9873980000011,1697.3100363703704,62933.1726,38026.221390549006,0.0,0.0,38026.221390549006,7923.357126707819,0,0.0
2025-05-22,0.85,0.15,rule,resid_vol7,402.08927255295106,0.8909090909090909,1697.3100363703704,2449.41661562963,63180.897247,38356.9403691325,2.57000000000005,17.333365000000338,38374.2737341325,8111.650337452679,0,0.0
2025-05-23,0.8,0.2,rule,resid_vol7,393.5680498905157,0.8738738738738738,2449.41661562963,2617.2706665185215,27887.211976,15076.1243466758,0.0,0.0,15076.1243466758,19112.100072090536,0,0.0
2025-05-24,0.8,0.2,rule,resid_vol7,369.6542216103815,0.8125,2617.2706665185215,2487.2488081481483,27594.810892,15042.843404258601,0.0,0.0,15042.843404258601,22022.05181718519,0,0.0
2025-05-25,0.8,0.2,rule,resid_vol7,370.10441146729414,0.8230088495575221,2487.2488081481483,1924.0613004444456,60108.59077,36631.892431931,0.0,0.0,36631.892431931,9016.58720399177,0,0.0
2025-05-26,0.8,0.2,rule,resid_vol7,361.7918559530881,0.7456140350877193,1924.0613004444456,2122.3849080962973,60007.43025642,36665.76692271634,0.0,0.0,36665.76692271634,1694.4684409465044,0,0.0
2025-05-27,0.8,0.2,rule,resid_vol7,360.4799225910562,0.7391304347826086,2122.3849080962973,1306.0050583333343,57626.4189622,35037.54777762622,42.215439999998694,293.95471746665766,35331.50249509288,5763.79098555803,0,0.0
2025-05-28,0.8,0.2,rule,resid_vol7,342.7485428468488,0.5517241379310345,1306.0050583333343,1653.3657971111134,59335.01947,35750.979448554994,0.0,0.0,35750.979448554994,3090.898139917695,0,0.0
2025-05-29,0.8,0.2,rule,resid_vol7,349.3744323766218,0.6410256410256411,1653.3657971111134,1885.0141147777797,60248.576667,36541.4408561148,17.817433333333497,119.77769558333443,36661.21855169813,2095.335420333344,0,0.0
2025-05-30,0.8,0.2,rule,resid_vol7,364.04242758552766,0.7711864406779662,1885.0141147777797,2678.1070331481524,28594.619655000002,15425.938944683501,0.0,0.0,15425.938944683501,18905.855687078194,0,0.0
2025-05-31,0.8,0.2,rule,resid_vol7,379.238123548826,0.8571428571428571,2678.1070331481524,2547.951963592592,27377.063496100003,14766.06742763339,0.0,0.0,14766.06742763339,17155.29654873375,0,0.0
2025-06-01,0.8,0.2,rule,resid_vol7,366.6664341003246,0.7833333333333333,2547.951963592592,1200.0,61185.78275,37293.248018225,11359.418487166664,69250.42838072497,106543.67639894997,34.484333333333666,0,0.0
2025-06-02,0.85,0.15,rule,resid_vol7,489.3830750624994,1.0,1200.0,1200.0,71467.370416,43626.471901811296,3311.571581166665,21056.437704557946,64682.90960636924,2148.6304926749076,0,0.0
2025-06-03,0.85,0.15,rule,resid_vol7,513.1821569559107,1.0,1200.0,1202.969206518519,71227.9357683,43271.71900923921,1574.4373591133358,9831.74794335097,53103.466952590185,481.99136333333456,0,0.0
2025-06-04,0.85,0.15,rule,resid_vol7,511.93306116504164,0.991869918699187,1202.969206518519,1749.060233518519,76215.210198,46964.4467480402,8.164115333333484,56.77048821033437,47021.21723625054,1997.5425818107133,0,0.0
2025-06-05,0.85,0.15,rule,resid_vol7,508.588201736255,0.9838709677419355,1749.060233518519,1946.2855768888921,78432.971191,48735.06767237649,56.11045800000022,378.8863498835015,49113.95402225999,2845.3335912757307,0,0.0
2025-06-06,0.85,0.15,rule,resid_vol7,508.68531220544065,0.984,1946.2855768888921,1200.0,32565.510667,18077.1632554883,2761.8429150333322,17165.19989741081,35242.36315289911,2588.04498938272,0,0.0
2025-06-07,0.85,0.15,rule,resid_vol7,517.7230808847432,1.0,1200.0,1672.683116259261,36110.218814,20605.520758965602,0.0,0.0,20605.520758965602,2136.4313383209865,0,0.0
2025-06-08,0.85,0.15,rule,resid_vol7,510.2688846353591,0.9763779527559056,1672.683116259261,2616.2587900000017,85588.0430366,53989.905234302,0.0,0.0,53989.905234302,16327.594201316877,0,0.0
2025-06-09,0.85,0.15,rule,resid_vol7,512.1960527644483,0.984375,2616.2587900000017,2101.064677888891,82653.254428,52019.2576527304,51.43767200000002,346.8946968106668,52366.152349541066,8668.935407633757,0,0.0
2025-06-10,0.85,0.15,rule,resid_vol7,484.66466733727435,0.937984496124031,2101.064677888891,1611.6229706666707,81945.595865,51224.9445072674,13.998626000000172,94.51913651366783,51319.46364378107,6974.854966921816,0,0.0
2025-06-11,0.85,0.15,rule,resid_vol7,478.7856695918194,0.9307692307692308,1611.6229706666707,1646.847546444445,81991.979368,50805.2602113647,1332.7559939999976,7651.5287360404855,58456.788947405184,2792.7319062963006,0,0.0
