label,feature,q_min,k,tune_total_cost,tune_plan_cost,tune_emergency_cost,tune_emergency_kwh,tune_n_days,tune_mean_q,inner_total_cost,inner_plan_cost,inner_emergency_cost,inner_emergency_kwh,inner_n_days,inner_mean_q,select_total_cost,select_plan_cost,select_emergency_cost,select_emergency_kwh,select_n_days,select_mean_q,n_validation_errors
resid_vol7_qmin0.65_k0.30,resid_vol7,0.65,0.3,5797646.480553577,5695644.555485709,102001.9250678674,17168.386218109987,150,0.854666666666667,3403092.387868989,3395909.23420299,7183.15366599887,1379.9536010666666,89,0.8353932584269665,2394554.0926845875,2299735.3212827183,94818.77140186852,15788.432617043318,61,0.8827868852459017,0
peak_ratio_qmin0.65_k0.30,peak_ratio,0.65,0.3,5812316.186185661,5481507.122944047,330809.06324161484,53620.21112464325,150,0.7666666666666667,3416843.193109687,3294051.441322247,122791.75178744012,19129.556943199954,89,0.760112359550562,2395472.9930759743,2187455.6816217997,208017.3114541747,34490.65418144329,61,0.7762295081967214,0
peak_ratio_qmin0.80_k0.20,peak_ratio,0.8,0.2,5825659.037052554,5705360.862740206,120298.17431234849,20045.094327799983,150,0.8546666666666666,3427292.15162543,3407833.372968089,19458.77865734112,3145.895626999996,89,0.8393258426966291,2398366.8854271234,2297527.4897721163,100839.39565500738,16899.19870079999,61,0.8770491803278689,0
resid_vol7_qmin0.80_k0.10,resid_vol7,0.8,0.1,5825033.558703468,5725586.590426642,99446.96827682521,16665.844985143314,150,0.8676666666666669,3425849.4620739543,3421143.485037535,4705.977036420196,888.9471610999957,89,0.8539325842696629,2399184.0966295134,2304443.105389108,94740.99124040503,15776.897824043319,61,0.8877049180327868,0
peak_ratio_qmin0.70_k0.30,peak_ratio,0.7,0.3,5792495.138006447,5593216.48474784,199278.65325860766,32857.43601761665,150,0.8103333333333332,3392080.05241931,3344653.5697326157,47426.48268669428,7447.445161766662,89,0.7932584269662921,2400415.085587137,2248562.9150152234,151852.1705719134,25409.99085584999,61,0.8352459016393442,0
em7_qmin0.70_k0.30,em7,0.7,0.3,5814347.393163837,5671354.766980711,142992.62618312534,23799.115850366637,150,0.8450000000000002,3412689.8259995454,3384231.6452214816,28458.180778064292,4782.676873699985,89,0.8258426966292138,2401657.5671642916,2287123.1217592303,114534.44540506105,19016.43897666665,61,0.8729508196721312,0
peak_ratio_qmin0.75_k0.30,peak_ratio,0.75,0.3,5822098.408301919,5683587.244696808,138511.16360510988,23069.097539233313,150,0.8446666666666667,3416971.4369727774,3397512.6583154364,19458.77865734112,3145.895626999996,89,0.8297752808988763,2405126.9713291405,2286074.5863813716,119052.38494776875,19923.20191223331,61,0.8663934426229508,0
em7_qmin0.80_k0.20,em7,0.8,0.2,5820246.942308272,5707756.856206102,112490.08610216957,18879.841834776656,150,0.861666666666667,3413892.632554808,3396014.885657149,17877.74689765874,3122.032526333331,89,0.8410112359550562,2406354.3097534636,2311741.970548953,94612.33920451083,15757.809308443322,61,0.8918032786885246,0
resid_vol7_qmin0.75_k0.20,resid_vol7,0.75,0.2,5839215.732228862,5740714.972109666,98500.76011919614,16528.574512743315,150,0.8700000000000003,3429340.068505552,3425498.174676794,3841.8938287577894,763.8401353666616,89,0.8539325842696631,2409875.6637233105,2315216.7974328715,94658.86629043835,15764.734377376653,61,0.8934426229508196,0
em7_qmin0.75_k0.20,em7,0.75,0.2,5830172.490246981,5675018.674508311,155153.81573867076,25602.179390999983,150,0.8496666666666668,3419798.4675410665,3389146.686853066,30651.78068800024,5022.731410799995,89,0.8348314606741576,2410374.0227059154,2285871.987655245,124502.03505067054,20579.447980199988,61,0.8713114754098361,0
resid_vol7_qmin0.70_k0.30,resid_vol7,0.7,0.3,5839848.482850576,5740149.267734857,99699.21511571936,16764.782958543314,150,0.8690000000000003,3428672.4408174776,3423543.1251838594,5129.315633617998,1013.0575511666616,89,0.8522471910112362,2411176.0420330986,2316606.1425509974,94569.89948210136,15751.72540737665,61,0.8934426229508196,0
em7_qmin0.75_k0.30,em7,0.75,0.3,5818069.008548958,5688547.743809175,129521.264739783,21653.34038663332,150,0.8550000000000002,3402105.598116388,3381856.7372554312,20248.860860957087,3473.0130981666657,89,0.8320224719101125,2415963.4104325697,2306691.006553744,109272.40387882592,18180.32728846665,61,0.8885245901639344,0
resid_vol7_qmin0.75_k0.30,resid_vol7,0.75,0.3,5861647.474340652,5763313.461191257,98334.01314939564,16504.030749743313,150,0.8773333333333336,3444674.1027730443,3440832.208944286,3841.8938287577894,763.8401353666616,89,0.8629213483146069,2416973.371567609,2322481.2522469712,94492.11932063785,15740.190614376652,61,0.8983606557377048,0
peak_ratio_qmin0.80_k0.30,peak_ratio,0.8,0.3,5871815.163093485,5772206.293189965,99608.8699035186,16732.93243130998,150,0.8720000000000004,3453457.852045718,3449939.096252196,3518.755793522693,682.1777208999965,89,0.856741573033708,2418357.3110477664,2322267.1969377697,96090.11410999592,16050.754710409985,61,0.8942622950819673,0
