date,official,q_load,q_pv,q_source,feature_value,feature_percentile,soc0_actual,soc24_actual,soc24_plan,purchase_kwh,plan_cost,emergency_kwh,emergency_slots,emergency_cost,total_cost,curtail_kwh,net_alpha,rho,terminal_soc
2025-04-10,True,0.8,0.2,netrho,,,2620.2445260740747,3207.1712115555574,2400.0,64675.6039,38881.964642071995,0.0,0,0.0,38881.964642071995,5537.27614135803,0.8,0.625,2400.0
2025-04-11,True,0.8,0.2,netrho,,,3207.1712115555574,3397.9553846666654,2400.0,28976.333461,11686.4080961452,0.0,0,0.0,11686.4080961452,20983.79533399177,0.8,0.625,2400.0
2025-04-12,True,0.8,0.2,netrho,,,3397.9553846666654,3582.267657444445,2400.0,28721.722984,11306.091521770002,0.0,0,0.0,11306.091521770002,17290.173613226332,0.8,0.625,2400.0
2025-04-13,True,0.8,0.2,netrho,,,3582.267657444445,3257.5137130370376,2400.0,62258.027769299995,37913.026336238545,0.0,0,0.0,37913.026336238545,4498.244816172843,0.8,0.625,2400.0
2025-04-14,True,0.8,0.2,netrho,,,3257.5137130370376,3109.7636521111112,2400.0,62560.48223,37464.924722147,0.0,0,0.0,37464.924722147,6442.68586358025,0.8,0.625,2400.0
2025-04-15,True,0.8,0.2,netrho,,,3109.7636521111112,2632.8724884814847,2400.0,59993.001286,35349.94576688419,0.0,0,0.0,35349.94576688419,6711.5395782716105,0.8,0.625,2400.0
2025-04-16,True,0.8,0.2,netrho,,,2632.8724884814847,2729.797281666669,2400.0,61699.023505000005,36999.177538646,0.0,0,0.0,36999.177538646,2061.4418152263393,0.8,0.625,2400.0
2025-04-17,True,0.8,0.2,netrho,,,2729.797281666669,3327.3043223333366,2400.0,62390.430571,37195.5848459662,0.0,0,0.0,37195.5848459662,4957.211974333341,0.8,0.625,2400.0
2025-04-18,True,0.8,0.2,netrho,,,3327.3043223333366,3725.351554111112,2400.0,28549.463233,11449.1831592144,0.0,0,0.0,11449.1831592144,19396.336587362144,0.8,0.625,2400.0
2025-04-19,True,0.8,0.2,netrho,,,3725.351554111112,3444.815841555553,2400.0,27464.443971,10980.423006988602,0.0,0,0.0,10980.423006988602,18593.883870983536,0.8,0.625,2400.0
2025-04-20,True,0.8,0.2,netrho,,,3444.815841555553,3371.3268274814814,2400.0,60680.535089,36162.6962940472,0.0,0,0.0,36162.6962940472,5075.741476654322,0.8,0.625,2400.0
2025-04-21,True,0.8,0.2,netrho,,,3371.3268274814814,2918.6782083703715,2400.0,60336.805383,35539.221412898696,0.0,0,0.0,35539.221412898696,8792.13305123046,0.8,0.625,2400.0
2025-04-22,True,0.8,0.2,netrho,,,2918.6782083703715,2663.9104007777773,2400.0,57499.543995,34224.905396479,0.0,0,0.0,34224.905396479,1885.4349681070066,0.8,0.625,2400.0
2025-04-23,True,0.8,0.2,netrho,,,2663.9104007777773,2887.100073222223,2400.0,59549.21163799999,35683.60363977071,0.0,0,0.0,35683.60363977071,4194.368039345683,0.8,0.625,2400.0
2025-04-24,True,0.8,0.2,netrho,,,2887.100073222223,3154.7316383703724,2400.0,60830.266154,36057.427176619,0.0,0,0.0,36057.427176619,9700.878598320995,0.8,0.625,2400.0
2025-04-25,True,0.8,0.2,netrho,,,3154.7316383703724,3357.8514609629656,2400.0,27321.503463,10581.5623098531,0.0,0,0.0,10581.5623098531,22772.37300053086,0.8,0.625,2400.0
2025-04-26,True,0.8,0.2,netrho,,,3357.8514609629656,3174.8235628518546,2400.0,26725.923118,10413.3932164009,0.0,0,0.0,10413.3932164009,24634.68595267079,0.8,0.625,2400.0
2025-04-27,True,0.8,0.2,netrho,,,3174.8235628518546,2824.2209683333367,2400.0,57102.669712999996,33643.8720291223,0.0,0,0.0,33643.8720291223,5167.229922436221,0.8,0.625,2400.0
2025-04-28,True,0.8,0.2,netrho,,,2824.2209683333367,2785.645965000001,2400.0,57219.813224,34621.0389902208,2830.9495100333265,21,17369.082333527185,51990.12132374798,177.77225000000067,0.8,0.625,2400.0
2025-04-29,True,0.8,0.2,netrho,,,2785.645965000001,2825.961264888889,2400.0,55844.49924899999,32849.9280184135,1024.2978376999977,5,6494.294968142752,39344.22298655625,5949.677412798359,0.8,0.625,2400.0
2025-04-30,True,0.8,0.2,netrho,,,2825.961264888889,2684.479729703705,2400.0,56609.609985999996,33003.357102462,0.0,0,0.0,33003.357102462,5105.328071683128,0.8,0.625,2400.0
2025-05-01,True,0.8,0.2,netrho,,,2684.479729703705,2137.50732,2400.0,57623.352205,35184.4219618082,1719.5841861666659,19,9272.902195277748,44457.324157085946,4891.012535699598,0.8,0.625,2400.0
2025-05-02,True,0.8,0.2,netrho,,,2137.50732,2510.4060586296296,2400.0,29405.869381999997,12404.414879453801,433.6870630666646,5,2399.61691222423,14804.031791678031,12509.34666255144,0.8,0.625,2400.0
2025-05-03,True,0.8,0.2,netrho,,,2510.4060586296296,2468.7538467777777,2400.0,28560.009752,11822.8914685906,351.90317333333155,8,1590.5916834697814,13413.483152060382,17661.84965673251,0.8,0.625,2400.0
2025-05-04,True,0.8,0.2,netrho,,,2468.7538467777777,2316.994916925926,2400.0,60980.70208,37399.177941465,588.5107001333323,10,3398.5176920513436,40797.69563351634,6692.43991366255,0.8,0.625,2400.0
2025-05-05,True,0.8,0.2,netrho,,,2316.994916925926,3351.386379185189,2400.0,64094.94134,39714.974845016,103.77669583333272,4,523.6231309489552,40238.59797596495,4229.899308065847,0.8,0.625,2400.0
2025-05-06,True,0.8,0.2,netrho,,,3351.386379185189,2798.8517745555555,2400.0,60330.563635,37731.750521038,117.65103333333332,2,593.7293835333332,38325.47990457133,4385.06437635803,0.8,0.625,2400.0
