date,official,soc0_actual,soc24_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh
2025-04-27,True,2072.9967920370395,1798.2970989259231,57822.096976,34537.7269935172,0.0,0.0,34537.7269935172,5936.786028884778
2025-04-28,True,1798.2970989259231,1585.6560120000006,57953.529165,34677.1438421904,2450.5404852666647,16632.14865025255,51309.29249244295,711.7426436625539
2025-04-29,True,1585.6560120000006,1631.6523218888897,56758.1380976,33651.50006716674,873.3418166999962,6058.603001591458,39710.103068758195,6741.493582386838
2025-04-30,True,1631.6523218888897,1470.4163172962978,57523.428201999996,34146.3571366721,0.0,0.0,34146.3571366721,6086.861811148155
2025-05-01,True,1470.4163172962978,1218.7573200000002,58501.557295,35030.8977846358,1928.2790721000001,9765.977615555117,44796.87540019092,5791.815590102888
2025-05-02,True,1218.7573200000002,1307.9994295555557,29116.714434,15235.7849179312,370.8385540999988,2284.555732991592,17520.340650922793,12565.77355222634
2025-05-03,True,1307.9994295555557,1292.706284777778,28588.392516299995,14840.26764119057,346.43208333333155,1774.111772081656,16614.379413272225,17756.03802678189
2025-05-04,True,1292.706284777778,1214.3284992222223,61869.88304,37158.30255742,703.1008153666654,3787.9882839751267,40946.29084139513,7631.991179958848
2025-05-05,True,1214.3284992222223,2121.471391148149,64928.741355,39510.3719166515,0.0,0.0,39510.3719166515,5072.123693930049
2025-05-06,True,2121.471391148149,1635.427109925927,61191.385053000005,37537.6330421092,0.0,0.0,37537.6330421092,5120.164305345686
2025-05-07,True,1635.427109925927,1643.1089981851867,62638.843636000005,38157.0950682334,0.0,0.0,38157.0950682334,3868.156466131686
2025-05-08,True,1643.1089981851867,2135.107198011112,65056.63205401,40055.94072957361,35.999250000000075,243.2289326250005,40299.16966219861,5030.469141312761
2025-05-09,True,2135.107198011112,3559.178167111113,31305.059472499997,17408.93816255615,0.0,0.0,17408.93816255615,18938.046397039096
2025-05-10,True,3559.178167111113,2584.3124122222252,28616.6877909,16096.92807402211,0.0,0.0,16096.92807402211,15559.901384798352
2025-05-11,True,2584.3124122222252,1835.694879744446,63858.19967297,39083.93592324953,41.18071666666674,277.36103945833383,39361.29696270787,5794.3041551852
2025-05-12,True,1835.694879744446,2268.1889249259284,65232.10218,39686.252524330004,0.0,0.0,39686.252524330004,9721.127904448564
2025-05-13,True,2268.1889249259284,1443.2088593703706,61033.510339,36767.858180179595,314.34949473333245,1946.8930646973945,38714.75124487699,5619.314089041165
2025-05-14,True,1443.2088593703706,1606.0152094074074,63264.34827,38334.20310986,0.0,0.0,38334.20310986,6686.054113045271
2025-05-15,True,1606.0152094074074,2183.0784518888904,64338.854783,38996.8857498812,0.0,0.0,38996.8857498812,7349.513116662553
2025-05-16,True,2183.0784518888904,2142.8047255925926,28497.7404663,15431.91475566517,0.0,0.0,15431.91475566517,23648.81820374856
2025-05-17,True,2142.8047255925926,1973.7068764074095,28334.354446619996,15221.602937306678,0.0,0.0,15221.602937306678,15965.750257990368
2025-05-18,True,1973.7068764074095,2078.595536740741,62384.9921762,38037.9802826829,5.236666666666679,35.318698333333415,38073.29898101624,5137.411163415644
2025-05-19,True,2078.595536740741,1770.9598032962965,61915.22242,37545.311274316,67.00333333333344,451.90398166666745,37997.21525598267,11532.530488930042
2025-05-20,True,1770.9598032962965,1273.9873980000011,59400.836888000005,36001.17078700061,13.742978166666148,95.87101569066306,36097.04180269127,1948.984188353913
2025-05-21,True,1273.9873980000011,1407.698418703708,61103.381389,36971.9383195372,0.0,0.0,36971.9383195372,6353.63793175309
2025-05-22,True,1407.698418703708,2286.7281209629646,61660.926550000004,37431.214248315,2.57000000000005,17.333365000000338,37448.547613315,6426.6418788066
2025-05-23,True,2286.7281209629646,2617.2706665185215,28067.976966,15145.268136530802,0.0,0.0,15145.268136530802,19112.100068016465
2025-05-24,True,2617.2706665185215,2487.2488081481483,27594.810892,15042.843404258601,0.0,0.0,15042.843404258601,22022.05181718519
2025-05-25,True,2487.2488081481483,1924.0613004444456,60108.59077,36631.892431931,0.0,0.0,36631.892431931,9016.58720399177
2025-05-26,True,1924.0613004444456,2122.3849080962973,60007.43025642,36665.76692271634,0.0,0.0,36665.76692271634,1694.4684409465044
2025-05-27,True,2122.3849080962973,1306.0050583333343,57626.4189622,35037.54777762622,42.215439999998694,293.95471746665766,35331.50249509288,5763.79098555803
2025-05-28,True,1306.0050583333343,1653.3657971111134,59335.01947,35750.979448554994,0.0,0.0,35750.979448554994,3090.898139917695
2025-05-29,True,1653.3657971111134,1885.0141147777797,60248.576667,36541.4408561148,17.817433333333497,119.77769558333443,36661.21855169813,2095.335420333344
2025-05-30,True,1885.0141147777797,2678.1070331481524,28594.619655000002,15425.938944683501,0.0,0.0,15425.938944683501,18905.855687078194
