date,official,soc0_actual,soc24_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh
2025-04-24,True,2109.4712857777786,2347.909560740743,65386.44423,38999.910723823006,0.0,0.0,38999.910723823006,14493.270514938284
2025-04-25,True,2347.909560740743,2591.657967444446,28395.102838449995,14579.828145128055,0.0,0.0,14579.828145128055,23857.170861536422
2025-04-26,True,2591.657967444446,2494.804171333336,27640.11905,14174.049132240998,0.0,0.0,14174.049132240998,25624.101984773664
2025-04-27,True,2494.804171333336,2229.9518244074093,61563.420867,36754.716193705804,0.0,0.0,36754.716193705804,9761.515071279844
2025-04-28,True,2229.9518244074093,2290.0202920259303,61558.049239,36858.900639190295,0.0,0.0,36858.900639190295,1181.9104338683187
2025-04-29,True,2290.0202920259303,1821.9379050000011,60123.929317,35719.3959841596,35.27956233333089,246.11022683731628,35965.506210996915,9898.601491131698
2025-04-30,True,1821.9379050000011,1829.0187435185208,61472.57228,36481.428846164,0.0,0.0,36481.428846164,9983.675317777781
2025-05-01,True,1829.0187435185208,1232.170992,62284.941701,37272.6820284564,1415.7582222666656,6966.45504599726,44239.13707445366,9491.6748971317
2025-05-02,True,1232.170992,1661.0895641851855,30482.4222524,16198.538729215239,0.0,0.0,16198.538729215239,13231.011028037858
2025-05-03,True,1661.0895641851855,1426.411231555555,29621.609652,15665.4202366188,48.312104933331604,229.0029304101248,15894.423167028925,18759.0352356214
2025-05-04,True,1426.411231555555,1296.542404962963,66160.29179,39680.192147693,398.178647766666,2176.504736244947,41856.69688393795,11687.992740000003
2025-05-05,True,1296.542404962963,2487.0212829259267,69257.1385235,42066.31493262114,0.0,0.0,42066.31493262114,9139.142826724285
2025-05-06,True,2487.0212829259267,2016.1840844074084,65214.789017,39914.1535827121,0.0,0.0,39914.1535827121,9197.0714070782
2025-05-07,True,2016.1840844074084,2013.787344703704,66680.3895,40566.846498182,0.0,0.0,40566.846498182,8011.688885020585
2025-05-08,True,2013.787344703704,2490.943932666669,69079.0126631,42531.67266431536,22.423336000000063,151.50326968400043,42683.17593399936,9124.100360699587
2025-05-09,True,2490.943932666669,3978.528842851854,32416.886456,18285.510358556,0.0,0.0,18285.510358556,20011.00554535802
2025-05-10,True,3978.528842851854,3015.9879888518512,29641.093609100004,16945.776252627507,0.0,0.0,16945.776252627507,16622.625842215224
2025-05-11,True,3015.9879888518512,2238.2151240370376,67816.7540984,41622.04990970619,41.18071666666674,277.36103945833383,41899.41094916452,9879.245563662558
2025-05-12,True,2238.2151240370376,2635.7706339370393,69207.75244021,42281.22060429126,0.0,0.0,42281.22060429126,13810.681518436222
2025-05-13,True,2635.7706339370393,1597.909780148149,65158.874562,39250.289366558995,130.77832839999914,830.461445866594,40080.75081242559,9805.680285897124
2025-05-14,True,1597.909780148149,1989.3354704074075,67604.26656,40920.724165709005,0.0,0.0,40920.724165709005,10843.146718559672
2025-05-15,True,1989.3354704074075,2560.72310114815,68371.42353140001,41506.28927073955,0.0,0.0,41506.28927073955,11518.345315008239
2025-05-16,True,2560.72310114815,2492.5209132962977,29554.783884,16294.945885670799,0.0,0.0,16294.945885670799,24786.326536839508
