date,paid_curtail_kwh,paid_curtail_cost,curtail_kwh,emergency_kwh
2025-03-23,5118.5625702880725,3301.8731081424057,7474.042336954739,0.0
2025-03-24,4772.986140864197,2598.024260512383,7385.99110164609,0.0
2025-03-25,299.0926035390986,153.16500712947095,1173.5906512757197,241.789024166671
2025-03-26,6646.757454938273,3811.490677870915,9770.389003086424,0.0
2025-03-27,4706.846006460912,2653.2450661885996,6258.190939794245,0.0
2025-03-28,946.6403512000005,790.2806626280669,17061.97709757861,0.0
2025-03-29,475.94817176131835,439.8501950121082,20357.781291761316,0.0
2025-03-30,4109.964165061742,2402.267026172031,7143.878440864215,0.0
2025-03-31,3781.4765155555624,1929.9412828453019,5671.10303222223,0.0
2025-04-01,30.42043333333379,13.005236136666863,30.42043333333379,1380.6244824666674
2025-04-02,1876.530105843629,1314.1715037240997,1876.530105843629,1267.0191099999997
2025-04-03,4976.28066139918,2761.9669416904785,7531.140328065846,0.0
2025-04-04,1138.3445703333339,983.339526658367,21296.044000127575,0.0
2025-04-05,678.6282736666668,579.9427545020335,15243.200375600827,0.0
2025-04-06,4953.537165267497,2934.2652167925303,8543.756915267495,0.0
2025-04-07,6370.783204265021,3514.34030725548,9258.220837598354,0.0
2025-04-08,2731.663268078193,1251.2191391127678,4847.806378572021,414.05037176666673
2025-04-09,968.2375179012465,430.270127358475,968.2375179012465,0.0
2025-04-10,4241.688325843622,2271.453119666687,6549.773759176955,0.0
2025-04-11,668.5883203333336,597.8259134539667,21137.306805395063,0.0
2025-04-12,646.9551303292191,559.3928098558549,17451.047656460905,0.0
2025-04-13,3080.0609126131667,1817.8487214295976,5621.9955959465,0.0
2025-04-14,4325.925134279839,2900.1821017687707,7570.749420082308,0.0
2025-04-15,3822.551788107002,1662.0879061341298,7514.514924197539,0.0
2025-04-16,1497.5811931687294,1105.277390673221,3137.6150155967102,0.0
2025-04-17,3650.8522122633835,2038.3186207409765,6034.972678930049,0.0
2025-04-18,927.3668093333335,864.3027648313334,19518.58442217284,0.0
2025-04-19,789.3775596666668,735.4405415849667,18627.199767691352,0.0
