slot,start_min,price,paid_curtail_kwh,emergency_kwh,purchase_kwh
74,740,0.4551,51225.38533449959,0.0,166786.8854822001
75,750,0.4463,75758.86991032923,0.0,167202.81284999993
76,760,0.4113,110431.88104016052,0.0,173978.71565999996
77,770,0.5682,91560.76912109216,0.0,113802.22857880002
78,780,0.8279,4858.511898366668,0.0,9970.785419089998
79,790,0.8636,5150.755089309467,0.0,11203.528325399995
80,800,0.8416,5760.708386422223,0.0,12695.3420781
81,810,0.8618,6504.147246396709,0.0,14586.236832799998
82,820,0.8623,7281.074712421813,0.0,16434.501992400004
83,830,0.9026,2478.0441622222233,0.0,8911.85249816
84,840,0.9754,0.0,0.0,0.0
85,850,1.0002,0.0,0.0,0.0
86,860,0.9978,0.0,0.0,0.0
87,870,1.0271,0.0,0.0,0.0
88,880,1.0906,0.0,0.0,0.0
89,890,0.9376,0.0,0.0,1044.281515
90,900,0.6694,22040.430618014383,0.0,166480.7254431
91,910,0.66,86907.4609276406,0.0,219513.1367616201
92,920,0.7217,38977.397823204934,0.0,138358.45697460006
93,930,0.7308,41555.28860139712,0.0,134129.31038650015
94,940,0.7534,34438.682621038686,0.0,133060.52179079998
95,950,0.7823,17482.894570691362,0.0,130210.088075
96,960,0.8055,17070.947364833748,0.0,144107.9955888
97,970,0.8271,16661.0084266214,0.0,159198.3028380001
98,980,0.8519,17638.44124828133,0.0,176336.62814972005
99,990,0.8791,17662.300399168726,0.0,193201.39259600002
100,1000,0.9024,15201.738646300428,0.0,207673.35086099987
101,1010,0.9163,14653.139846596721,0.0,219739.6327179999
102,1020,0.9264,14584.433743473277,0.0,229391.49417100003
103,1030,0.9462,15923.879844115241,0.0,245846.04652999996
104,1040,0.9742,14343.694610823046,0.0,256652.70556999987
105,1050,0.9862,14358.509734444453,0.0,270521.2920000002
106,1060,0.976,14644.898845061742,0.0,288651.8957899998
107,1070,1.0742,11414.148324403299,0.0,264260.85096499993
108,1080,1.2313,7011.80148226338,0.0,196375.05677999996
109,1090,1.2561,5607.272679958852,0.0,184019.86591900003
110,1100,1.2447,5078.925759753097,0.0,205297.17446300015
111,1110,1.2545,5787.717854115238,0.0,202720.5086150001
112,1120,1.2522,5257.0803431275845,0.0,208431.20080000002
113,1130,1.2881,2297.595730041164,0.0,133103.75536729995
114,1140,1.3466,0.0,782.5942675999984,8094.718325800003
115,1150,1.3523,0.0,1223.1245418000003,7968.3877526000015
116,1160,1.3445,0.0,1292.7849220000012,8319.668338000003
117,1170,1.3483,0.0,1385.2526200000007,8220.769383930001
118,1180,1.349,0.0,1171.7497346666669,8533.341606529997
119,1190,1.3473,0.0,1218.9788201000015,8160.939639200001
120,1200,1.3482,0.0,2272.918851833335,8491.69772493
121,1210,1.3513,0.0,3087.738197599999,8335.679905710002
122,1220,1.34,0.0,3249.8651983999935,57013.4749
123,1230,1.3489,0.0,8522.911465082987,8932.795894599998
124,1240,1.3952,0.0,18510.298509706405,8556.399754150001
125,1250,1.2226,0.0,699.3349933333308,228725.21475900005
126,1260,0.9332,0.0,588.3518581999947,250240.59608
127,1270,0.9068,0.0,560.2010563999994,250422.99234
128,1280,0.9371,0.0,554.5103072999982,249823.73839000004
129,1290,0.9371,0.0,545.3229703333316,250631.22280000008
130,1300,0.9871,0.0,527.9430910999995,255623.58800999995
131,1310,0.7764,0.0,475.2898055,234883.34526000006
132,1320,0.4209,0.0,377.14012999999954,196792.49343
133,1330,0.3859,0.0,525.6910604666648,192247.15868000005
134,1340,0.4368,0.0,512.2334166666665,197947.97157999995
135,1350,0.4198,0.0,341.85836999999964,197828.84577000016
136,1360,0.4186,0.0,340.1139931333331,196900.46044000008
137,1370,0.4241,0.0,338.90095276666625,196982.07493000006
138,1380,0.4237,0.0,329.16554606666625,198001.12754999998
139,1390,0.4248,0.0,371.84376333333336,197514.0411700001
140,1400,0.424,0.0,535.0902072333322,197673.86057000008
141,1410,0.422,0.0,492.9405766666663,198349.11884999982
142,1420,0.424,0.0,348.8196466666664,199370.9406400001
143,1430,0.4271,0.0,336.1999820999987,200555.07005000004
