date,q_load,soc0_actual,soc24_actual,total_cost,plan_cost,emergency_cost,emergency_kwh,curtail_kwh,purchase_kwh
2025-04-26,0.6,1631.4482525925941,1448.9506494555571,12742.9996873196,12742.9996873196,0.0,0.0,23719.11850230453,25823.374772
2025-04-27,0.8,1448.9506494555571,1798.2970989259231,34836.3721063792,34836.3721063792,0.0,0.0,5936.786046016463,58515.481596
2025-04-28,0.9,1798.2970989259231,2290.0202920259303,37065.2333044723,37065.2333044723,0.0,0.0,1182.3542728395066,62037.665609
2025-04-29,0.9,2290.0202920259303,1821.9379050000011,35965.506210996915,35719.3959841596,246.11022683731628,35.27956233333089,9898.601491131698,60123.929317
2025-04-30,0.6,1821.9379050000011,1260.252084962964,32298.88238354787,31364.1717070554,934.7106764924665,174.80949746666658,1558.764366469141,52468.67707400001
2025-05-01,0.9,1260.252084962964,1232.170992,44511.54726625466,37545.0922202574,6966.45504599726,1415.7582222666656,9491.67485318108,62916.904611000005
2025-05-02,0.9,1232.170992,1661.0895641851855,16198.538729215239,16198.538729215239,0.0,0.0,13231.011028037858,30482.4222524
2025-05-03,0.9,1661.0895641851855,1426.411231555555,15894.423167028925,15665.4202366188,229.0029304101248,48.312104933331604,18759.0352356214,29621.609652
2025-05-04,0.6,1426.411231555555,1200.0,40420.18781615478,34257.1116144258,6163.07620172898,1173.72550653333,3069.1331544897207,56831.439427000005
2025-05-05,0.7,1200.0,1886.3408982592596,37922.366842854,37922.366842854,0.0,0.0,2496.2466270781956,62176.00196
2025-05-06,0.6,1886.3408982592596,1323.3150210000001,35229.00832811614,34843.240750170204,385.7675779459359,182.7361497333345,545.6116954650334,56577.624666
2025-05-07,0.8,1323.3150210000001,1643.1089981851867,38306.5967804194,38306.5967804194,0.0,0.0,3868.1565162139877,62985.634896
2025-05-08,0.6,1643.1089981851867,1571.524629703706,37423.31905910821,37180.09012648321,243.2289326250005,35.999250000000075,505.6797163374541,60152.964102000005
2025-05-09,0.6,1571.524629703706,3028.710374222224,16563.3395013391,16563.3395013391,0.0,0.0,17840.873292481483,30325.338441000004
2025-05-10,0.6,3028.710374222224,2026.176668259261,15222.9511539347,15222.9511539347,0.0,0.0,14459.072309423866,27606.77955
2025-05-11,0.6,2026.176668259261,1374.970546814815,36880.7406534438,36416.6220717988,464.11858164499097,67.95215333333203,1132.602499374496,59389.71511999999
2025-05-12,0.6,1374.970546814815,1820.4903233333353,36939.9759111382,36939.9759111382,0.0,0.0,5010.773354584364,60634.807007999996
2025-05-13,0.6,1820.4903233333353,1269.6562366296303,37831.74123150046,34088.5774750638,3743.163756436663,600.562596666666,947.4190617530958,56564.06505199999
2025-05-14,0.6,1269.6562366296303,1200.0,35784.52406273484,35509.0100776624,275.5139850724346,129.77874743333396,2093.7368456296376,58516.815951
2025-05-15,0.6,1200.0,1386.36669318519,36280.8732011756,36280.8732011756,0.0,0.0,3019.2121953497935,59790.163859
2025-05-16,0.6,1386.36669318519,1566.4453474444417,14706.95811968944,14706.95811968944,0.0,0.0,22588.437655683956,27794.3029694
2025-05-17,0.7,1566.4453474444417,1601.9771073703728,14899.0314883445,14899.0314883445,0.0,0.0,15455.940124061728,28120.41823
2025-05-18,0.6,1601.9771073703728,1614.7385341851855,35400.87334565254,35365.5546473192,35.318698333333415,5.236666666666679,543.3199939053586,57913.264283
2025-05-19,0.6,1614.7385341851855,1351.7261667037042,35623.99822632699,34928.857376415,695.1408499119966,101.87100366666618,6978.224525465019,57561.786109
2025-05-20,0.8,1351.7261667037042,1273.9873980000011,36297.85471816726,36201.9837024766,95.87101569066306,13.742978166666148,1948.984196584367,59866.652048
2025-05-21,0.8,1273.9873980000011,1407.698418703708,36971.9383195372,36971.9383195372,0.0,0.0,6353.63793175309,61103.381389
2025-05-22,0.6,1407.698418703708,1675.6914852222235,34952.05776996982,34601.844190166594,350.2135798032228,50.28792070000327,2035.1950623045334,56780.197327999995
2025-05-23,0.6,1675.6914852222235,2040.1081027777805,14361.01292866145,14361.01292866145,0.0,0.0,18114.341056748977,27222.511727499998
2025-05-24,0.6,2040.1081027777805,1968.1504069629634,14222.601783737791,14222.601783737791,0.0,0.0,20976.304729146916,26717.3913789
2025-05-25,0.6,1968.1504069629634,1425.5745129259265,34094.99461556073,34074.7155586472,20.279056913530855,4.472663633332786,4480.3965960658425,55809.191383
2025-05-26,0.8,1425.5745129259265,2122.3849080962973,36904.41805489235,36904.41805489235,0.0,0.0,1694.4684925925933,60561.30451642
2025-05-27,0.6,2122.3849080962973,1200.0,34235.183246881155,32267.633369707997,1967.5498771731566,371.99263123333145,1137.910538748975,52617.35931
2025-05-28,0.7,1200.0,1433.9068230740745,35443.83552667372,34238.17279553108,1205.6627311426391,173.85017599999605,683.8436451456836,56651.5745655
2025-05-29,0.8,1433.9068230740745,1885.0141147777797,36766.33941988314,36646.561724299805,119.77769558333443,17.817433333333497,2095.335465847745,60492.420017
2025-05-30,0.6,1885.0141147777797,1839.7337666740793,14343.6414567947,14343.6414567947,0.0,0.0,18169.741301111113,27047.953799
2025-05-31,0.6,1839.7337666740793,1973.255277592591,14061.5307366839,14061.5307366839,0.0,0.0,16142.181339061735,26769.089564999995
2025-06-01,0.9,1973.255277592591,1200.0,84237.71793454008,40319.52724388891,43918.19069065117,7266.204559566664,76.93439666666711,66514.6931307
2025-06-02,0.9,1200.0,1213.1814432222225,61077.56377494313,45481.23784152704,15596.32593341609,2425.992481333332,4089.98071226338,74303.6061512
2025-06-03,0.9,1213.1814432222225,1269.4025781111116,49886.285922689625,45155.46484187931,4730.821080810315,750.0366676666639,2475.8956458847815,74085.962909
2025-06-04,0.8,1269.4025781111116,1380.696331185186,46176.97041823804,45613.7950090441,563.1754091939371,82.01029879999331,400.33066452675246,74151.538222
2025-06-05,0.8,1380.696331185186,1607.8164560370428,48011.052530270405,47506.1000049989,504.9525252715016,74.79457500000024,1080.788244855972,76853.663619
2025-06-06,0.9,1607.8164560370428,1200.0,33004.367097652255,18982.37428194084,14021.99281571142,2208.016384833333,3149.75760600824,34032.8746118
2025-06-07,0.85,1200.0,1672.683116259261,20605.520758965602,20605.520758965602,0.0,0.0,2136.4313383209865,36110.218814
2025-06-08,0.6,1672.683116259261,1955.1195301481494,48716.19003797071,48663.106061569706,53.08397640100055,7.885504666666748,9268.190164948986,78113.98772519999
2025-06-09,0.8,1955.1195301481494,1798.8813905185202,51290.72792017244,50788.6673613141,502.0605588583339,74.25811866666675,6746.949573868318,81256.531816
2025-06-10,0.7,1798.8813905185202,1279.955316111111,49580.05993192485,47694.13665220031,1885.9232797245454,337.066612899999,2260.175031650203,77200.25202300001
2025-06-11,0.9,1279.955316111111,2178.0673225185196,53129.01476370832,52996.66645295831,132.34831075001316,22.912761966665883,3599.9875559794245,85118.41281800001
2025-06-12,0.7,2178.0673225185196,2009.325399444448,49999.9691760262,49999.9691760262,0.0,0.0,3386.6234611317013,79933.00004900001
2025-06-13,0.6,2009.325399444448,3176.9927185185193,22112.11149214129,22112.11149214129,0.0,0.0,5340.742879745271,37310.1168967
2025-06-14,0.6,3176.9927185185193,1845.5720402222225,19995.7124176079,19995.7124176079,0.0,0.0,6784.2414654794275,33838.950935500005
2025-06-15,0.6,1845.5720402222225,1909.7392013333365,48706.71777624327,48517.8365946831,188.8811815601668,28.00521633333335,3088.9109656378637,77858.109836
2025-06-16,0.6,1909.7392013333365,1621.8367224444446,49096.77956365853,48502.674509793695,594.1050538648344,88.11044233333348,1154.0919288469213,77820.3242296
2025-06-17,0.85,1621.8367224444446,1521.2632828148146,53168.06695691967,52646.3593824395,521.7075744801681,76.82142300000021,5447.130936810696,84021.974037
2025-06-18,0.6,1521.2632828148146,1323.5121400740752,48729.66945630872,47726.3911321288,1003.2783241799159,144.57240040000227,2577.447402868324,77162.307818
2025-06-19,0.6,1323.5121400740752,1627.1244938888879,49263.099500455464,48218.107962927796,1044.9915375276682,155.12932733333355,5237.453851522645,77863.83725499999
2025-06-20,0.6,1627.1244938888879,1670.769023555557,19562.745368143802,19562.745368143802,0.0,0.0,8897.763929506173,33760.74274
2025-06-21,0.6,1670.769023555557,2067.45987374074,19236.55066092888,19236.55066092888,0.0,0.0,11566.886193284365,33735.1674267
2025-06-22,0.6,2067.45987374074,1642.3363074444474,47102.288298288535,46981.8161381597,120.47216012883386,17.91693633333341,4720.982339139928,75558.29712900001
2025-06-23,0.6,1642.3363074444474,1242.352899,47392.77774872243,46282.5626001911,1110.2151485313316,248.358652299997,4484.292687489724,75017.07575300001
2025-06-24,0.9,1242.352899,2105.689387888892,55147.90158661876,51862.7404874037,3285.161099215061,693.3686087666656,2263.0947081070008,83120.258486
2025-06-25,0.7,2105.689387888892,1425.814874851853,47782.65629009182,46263.2047173702,1519.4515727216199,278.3041652566589,1044.4825036625539,74804.335873
2025-06-26,0.7,1425.814874851853,1545.9907125185193,48363.853475048985,47680.27834132482,683.5751337241679,101.35907533333352,5107.058065847737,76969.21468219999
2025-06-27,0.6,1545.9907125185193,1805.6607854074107,18370.24916116485,18370.24916116485,0.0,0.0,9988.716533232511,32531.2836865
2025-06-28,0.6,1805.6607854074107,1624.8420173777795,18010.673381616398,18010.673381616398,0.0,0.0,8224.246714526755,32109.673637999997
2025-06-29,0.6,1624.8420173777795,1856.713280259256,46440.82028705252,46440.82028705252,0.0,0.0,1482.5461811234643,75133.37162884
2025-06-30,0.6,1856.713280259256,1584.1824068888914,46921.19414168954,46326.288922278705,594.905219410834,88.10947600000009,1315.254181934146,74851.34853399999
2025-07-01,0.9,1584.1824068888914,1200.0,66713.27216096519,52530.000148636405,14183.272012328787,2833.3306114666643,4182.930957008239,83997.717032
2025-07-02,0.7,1200.0,1235.588769,55562.11048475909,54017.35944956989,1544.751035189196,265.23505523333137,9775.418110205352,86000.0819993
2025-07-03,0.6,1235.588769,1423.81092837037,55906.8649248711,55732.0490855111,174.81583936000015,25.05961000000002,4039.012191008232,88195.434005
2025-07-04,0.9,1423.81092837037,1200.0,30184.07048691575,24298.552602122298,5885.517884793452,1472.2028596999974,11351.648056333332,41280.010493
2025-07-05,0.85,1200.0,1286.4260706666676,26460.779459751313,25615.060051538,845.7194082133126,121.23271333333037,12374.68002088066,43640.112948
2025-07-06,0.85,1286.4260706666676,1705.7321673703716,58040.39948667333,57694.9616728856,345.43781378773076,49.51803523333297,6352.422971325108,90544.649224
2025-07-07,0.6,1705.7321673703716,1659.1774336296305,54162.0546498048,54073.955544424796,88.09910538000031,13.069326666666711,8681.320494941197,85525.62163897
2025-07-08,0.7,1659.1774336296305,1763.0353280370416,54373.184767659,54373.184767659,0.0,0.0,6045.698985637857,85816.72202
2025-07-09,0.6,1763.0353280370416,1637.8090924074088,51489.53899899968,51297.10231970801,192.4366792916665,28.54508333333331,3364.4288832921916,81318.04176
2025-07-10,0.6,1637.8090924074088,1362.507576,52151.17501956601,51157.790364009,993.3846555570119,180.24682603333125,4540.951510329212,81173.90531999999
2025-07-11,0.7,1362.507576,2271.8751660000007,28573.689878082467,28119.7487497614,453.9411283210693,98.32296756666722,12400.363733205762,48388.476453
2025-07-12,0.7,2271.8751660000007,1502.5965971851876,25580.561551201397,25580.561551201397,0.0,0.0,9918.301538407411,42642.398520999996
2025-07-13,0.6,1502.5965971851876,1823.137447444447,51748.928432498,51310.155367633,438.7730648650015,65.21344000000022,7993.499560164616,81401.58244
2025-07-14,0.6,1823.137447444447,1560.9247430370401,50859.24525982833,50429.86835851999,429.37690130833437,63.74170000000015,4741.458982551445,79903.16690000001
2025-07-15,0.6,1560.9247430370401,1990.3233261851913,49973.84987494567,49889.146533609004,84.7033413366671,12.572336666666729,2138.2558683127627,79117.50917
2025-07-16,0.7,1990.3233261851913,1359.6869794444453,50695.295077791874,50245.5873806972,449.7076970946716,66.56019633333403,4504.296110547339,79746.261191
2025-07-17,0.7,1359.6869794444453,1357.2254247777785,51570.6036000669,50998.200732363,572.402867703893,98.71877656666541,4289.621927613174,81202.09111
2025-07-18,0.6,1357.2254247777785,1457.033218555556,24951.04669253496,24951.04669253496,0.0,0.0,8316.264802057614,42218.7790552
2025-07-19,0.7,1457.033218555556,1764.3238864074076,25138.8780980095,25138.8780980095,0.0,0.0,12647.247289049385,42374.820283
2025-07-20,0.6,1764.3238864074076,1737.2013209629679,49176.996100585,49109.619590505,67.37651008000064,9.658330000000092,1313.7603657201737,77276.28577
2025-07-21,0.6,1737.2013209629679,1826.9038381111093,49849.79214126033,49775.262626806994,74.52951445333437,10.683703333333483,603.9889559670796,78675.65447000001
2025-07-22,0.7,1826.9038381111093,1269.7222484074075,51477.6927627772,49263.268217139004,2214.424545638201,321.78883153333345,1550.0777100000012,78483.2848
2025-07-23,0.7,1269.7222484074075,1604.2966383703715,51078.54776428557,50903.4791447539,175.0686195316683,25.94915666666691,2388.566620246919,81109.75450099999
2025-07-24,0.7,1604.2966383703715,1757.4302435555603,51683.2197322,51683.2197322,0.0,0.0,4276.071441111117,82122.41139
2025-07-25,0.6,1757.4302435555603,1529.2132602222223,24024.93632197107,23975.464333182303,49.47198878876543,10.023703533333082,11833.56750182305,40600.847741
2025-07-26,0.6,1529.2132602222223,1527.792585074077,24247.9862046663,24247.9862046663,0.0,0.0,9854.135923152262,40785.623642
2025-07-27,0.7,1527.792585074077,2133.864815925927,53205.88929009408,51353.4429333218,1852.4463567722778,369.79924236666557,3246.3377012016476,81414.45028399999
2025-07-28,0.8,2133.864815925927,1904.6202377037062,53099.6827247074,53099.6827247074,0.0,0.0,2132.463576637871,84022.590561
2025-07-29,0.7,1904.6202377037062,1862.7555639629677,51397.59087030667,50837.24150944,560.3493608666678,83.15290000000016,788.0326268724325,80876.22813999999
2025-07-30,0.7,1862.7555639629677,1870.9879341111096,51192.586335324995,51192.586335324995,0.0,0.0,3250.022946913587,81518.51274
2025-07-31,0.6,1870.9879341111096,1352.4449015925925,50874.98738402,50215.764369209995,659.2230148100025,97.26259666666704,1570.861618600824,80018.65654
2025-08-01,0.6,1352.4449015925925,1602.739066629629,23895.310908889798,23895.310908889798,0.0,0.0,16581.820973119342,40637.402556
2025-08-02,0.6,1602.739066629629,1764.1746048518528,24051.1985598224,24051.1985598224,0.0,0.0,17194.311609176955,40531.219880000004
2025-08-03,0.6,1764.1746048518528,1373.8457970000004,51256.52881081004,48761.980751687,2494.5480591230444,528.525709633332,12142.08944477367,77610.51558
2025-08-04,0.6,1373.8457970000004,1786.2927560370397,48398.347860711074,48396.712572114404,1.635288596666816,0.24287666666668883,7483.969761835392,76805.09300200001
2025-08-05,0.6,1786.2927560370397,1564.9826178888866,46752.839993035996,46678.329969221,74.51002381500017,11.06064333333336,5126.501390041155,73675.65629
2025-08-06,0.85,1564.9826178888866,2005.5111442592558,49777.100424057004,49777.100424057004,0.0,0.0,6894.996844938272,79020.06263999999
2025-08-07,0.6,2005.5111442592558,1390.0833442962967,45454.75915622553,44880.3244375207,574.434718704834,85.1087510000001,3804.207026666669,70541.071919
2025-08-08,0.6,1390.0833442962967,1699.2515479259282,23485.8332087467,23485.8332087467,0.0,0.0,21299.494509839504,39978.587586999995
2025-08-09,0.6,1699.2515479259282,1490.9705580740742,22727.1623386305,22727.1623386305,0.0,0.0,17438.962341567905,38509.870767
2025-08-10,0.6,1490.9705580740742,1790.6478121481534,45262.550264889,45000.067508249005,262.4827566399998,37.969299999999976,1079.011939485597,70300.061005
2025-08-11,0.6,1790.6478121481534,1418.3478906296316,45336.14992222486,44576.21690145986,759.9330207650015,112.68975333333356,1864.6114885786128,69815.1462622
