date,alpha,rho,terminal,soc0_actual,soc24_actual,soc24_plan,soc_min_actual,soc_max_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh,emergency_slots,n_simultaneous_plan,max_unserved_kwh,dispatch
2025-03-12,0.8,0.625,2400.0,2640.1153160370377,2487.3403388888896,2400.0,1200.0,10800.0,69248.66443,41838.735231961,117.95099119999986,822.826114611199,42661.5613465722,2974.555564526756,1,0,0.0,rho
2025-03-13,0.8,0.625,2400.0,2487.3403388888896,2715.693344037037,2400.0,1200.0,10800.0,71589.65688000001,43592.242228414,1137.0155687333286,7003.751903713193,50595.99413212719,713.2155316049439,9,0,0.0,rho
2025-03-14,0.8,0.625,2400.0,2715.693344037037,3636.9270976296307,2400.0,1849.0249600000002,10800.0,33277.692511,17664.3904905835,0.0,0.0,17664.3904905835,13426.419547905352,0,0,0.0,rho
2025-03-15,0.8,0.625,2400.0,3636.9270976296307,2661.2429887407407,2400.0,1402.182014814815,10800.0,31010.9854559,16342.65482129797,0.0,0.0,16342.65482129797,8414.170091579012,0,0,0.0,rho
2025-03-16,0.8,0.625,2400.0,2661.2429887407407,3068.166114370373,2400.0,1651.9534000000026,10800.0,72462.209172,43998.123045956,1.6400000000001,7.461180000000455,44005.584225956,4797.196318214001,1,0,0.0,rho
2025-03-17,0.8,0.625,2400.0,3068.166114370373,2897.106250481485,2400.0,1291.4472037037067,10800.0,72840.74955030001,44142.574330869975,0.0,0.0,44142.574330869975,11578.825956213997,0,0,0.0,rho
2025-03-18,0.8,0.625,2400.0,2897.106250481485,2297.6488828148154,2400.0,1200.0,10800.0,66903.07954,40102.724022303,904.501152616659,4700.411272583768,44803.13529488677,3167.0569534773686,11,0,0.0,rho
2025-03-19,0.8,0.625,2400.0,2297.6488828148154,3044.457421925928,2400.0,1459.86234814815,10800.0,69954.38746,42091.216520685004,230.75460301666408,1136.8097567883788,43228.026277473386,5841.045730061731,4,0,0.0,rho
2025-03-20,0.8,0.625,2400.0,3044.457421925928,2668.1417125925927,2400.0,1200.0,10800.0,69688.82536399999,42317.2854450936,239.1227572333301,1668.1203544597108,43985.40579955331,4083.4133969547365,1,0,0.0,rho
2025-03-21,0.8,0.625,2400.0,2668.1417125925927,3000.7516539259277,2400.0,1579.1694814814825,10800.0,31245.703365,16305.6975443589,0.0,0.0,16305.6975443589,16043.079110020579,0,0,0.0,rho
2025-03-22,0.8,0.625,2400.0,3000.7516539259277,3434.2345787777767,2400.0,1849.0149629629618,10800.0,30754.541391,16019.9049629531,0.0,0.0,16019.9049629531,11858.32565465021,0,0,0.0,rho
