date,alpha,rho,terminal,soc0_actual,soc24_actual,soc24_plan,soc_min_actual,soc_max_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh,emergency_slots,n_simultaneous_plan,max_unserved_kwh,dispatch
2025-03-29,0.8,0.0,2400.0,3587.4578596296287,3405.4512473703753,2400.0,1777.5668603703743,10800.0,30135.451914,15763.5538008403,0.0,0.0,15763.5538008403,20158.63554305761,0,0,0.0,greedy
2025-03-30,0.8,0.0,2400.0,3405.4512473703753,3291.7904262592583,2400.0,1669.4567481481477,10800.0,65025.8643,39455.311576605,0.0,0.0,39455.311576605,6056.885941234583,0,0,0.0,greedy
2025-03-31,0.8,0.0,2400.0,3291.7904262592583,3307.624091148149,2400.0,1626.3492555555563,10800.0,65185.524391,39514.3646592515,0.0,0.0,39514.3646592515,4637.396352975309,0,0,0.0,greedy
2025-04-01,0.8,0.0,2400.0,3307.624091148149,2537.2688252222224,2400.0,1200.0,10480.105154037035,60636.040925,36323.9284144404,2255.590561136668,15338.170367019895,51662.0987814603,45.5210500000004,5,0,0.0,greedy
2025-04-02,0.8,0.0,2400.0,2537.2688252222224,2958.3087636666673,2400.0,1200.0,10800.0,64566.267400000004,38577.07172527,1562.0413199999991,7781.877345124995,46358.94907039499,1180.4928970781903,10,0,0.0,greedy
2025-04-03,0.8,0.0,2400.0,2958.3087636666673,3060.0738111481487,2400.0,1551.5243111111122,10800.0,66533.31659999999,40093.418872452,0.0,0.0,40093.418872452,6502.926404485596,0,0,0.0,greedy
2025-04-04,0.8,0.0,2400.0,3060.0738111481487,3834.815716962965,2400.0,2137.4513629629632,10800.0,30870.251545,16199.541707807499,0.0,0.0,16199.541707807499,21123.18004257202,0,0,0.0,greedy
2025-04-05,0.8,0.0,2400.0,3834.815716962965,3204.15902425926,2400.0,1750.3973888888886,10800.0,28777.120081000005,14977.3002099523,0.0,0.0,14977.3002099523,15045.581667995888,0,0,0.0,greedy
2025-04-06,0.8,0.0,2400.0,3204.15902425926,3014.835691444446,2400.0,1465.8679740740747,10800.0,65511.45454,39360.2257828,0.0,0.0,39360.2257828,7546.403760699591,0,0,0.0,greedy
2025-04-07,0.8,0.0,2400.0,3014.835691444446,3228.6993334074104,2400.0,1730.6549407407433,10800.0,65280.26533,39132.937839373,0.0,0.0,39132.937839373,8263.343664897126,0,0,0.0,greedy
2025-04-08,0.8,0.0,2400.0,3228.6993334074104,2482.936966555556,2400.0,1200.0,10800.0,61016.10772200001,36268.722409548805,611.2237839999942,4050.1124188402114,40318.834828389015,4035.290542781899,6,0,0.0,greedy
2025-04-09,0.8,0.0,2400.0,2482.936966555556,2621.1169633333343,2400.0,1200.0,10800.0,63340.728336,37581.89806007659,764.998662933334,5318.001742313871,42899.899802390464,897.8616983950692,3,0,0.0,greedy
2025-04-10,0.8,0.0,2400.0,2621.1169633333343,3207.6899720740757,2400.0,1566.2190629629636,10800.0,64674.6343,38769.117087274,0.0,0.0,38769.117087274,5531.28587522634,0,0,0.0,greedy
2025-04-11,0.8,0.0,2400.0,3207.6899720740757,3400.23056711111,2400.0,1889.974108518518,10800.0,28975.757021,14947.731123746402,0.0,0.0,14947.731123746402,20985.00804345679,0,0,0.0,greedy
2025-04-12,0.8,0.0,2400.0,3400.23056711111,3582.267657444445,2400.0,1924.1329066666663,10800.0,28719.195014,14835.574464126601,0.0,0.0,14835.574464126601,17290.17362372016,0,0,0.0,greedy
2025-04-13,0.8,0.0,2400.0,3582.267657444445,3120.8227865185186,2400.0,1572.8058814814813,10800.0,62258.0277793,37353.79863732007,0.0,0.0,37353.79863732007,4636.525012839507,0,0,0.0,greedy
2025-04-14,0.8,0.0,2400.0,3120.8227865185186,2980.2673198148145,2400.0,1379.1884740740738,10800.0,62712.36105000001,37455.96240889501,0.0,0.0,37455.96240889501,6577.52019481482,0,0,0.0,greedy
2025-04-15,0.8,0.0,2400.0,2980.2673198148145,2652.70439325926,2400.0,1200.0,10800.0,60109.627656,35784.142226724,0.8491285333341239,5.923520648538848,35790.06574737254,6678.227966666675,1,0,0.0,greedy
2025-04-16,0.8,0.0,2400.0,2652.70439325926,2677.2497670740777,2400.0,1366.7742142962989,10800.0,61676.98787,36649.800543925,0.0,0.0,36649.800543925,2121.4181030452664,0,0,0.0,greedy
