date,total_cost,plan_cost,emergency_cost,emergency_kwh,label
2025-03-15,14178.047400281352,13162.2423490492,674.4469080850016,163.58315000000042,LA_h48_q65
2025-03-16,45344.944006954494,43361.17589169189,8.081100000000493,1.6400000000001,LA_h48_q65
2025-03-17,41910.729211104706,38935.4231608817,573.8757206666561,115.83354999999786,LA_h48_q65
2025-03-18,41668.20100907842,41710.689972539825,0.0,0.0,LA_h48_q65
2025-03-19,42368.56543828095,36063.67709521215,0.0,0.0,LA_h48_q65
2025-03-20,43718.57402729915,42627.5527841296,443.2023786917968,67.00973369999952,LA_h48_q65
2025-03-21,11907.161578267662,11557.0795342132,514.3401776393629,122.03793426666593,LA_h48_q65
2025-03-22,13208.309964637701,13365.4752510759,0.0,0.0,LA_h48_q65
2025-03-23,42236.546806067556,42284.785598438,1392.3098344930515,227.64499376666691,LA_h48_q65
2025-03-24,39909.920131229104,39236.3125201604,0.0,0.0,LA_h48_q65
2025-03-25,43167.30901363499,41976.04725689499,0.0,0.0,LA_h48_q65
2025-03-26,39533.311526954545,37709.92001027,1254.1599599371452,194.79070589999924,LA_h48_q65
2025-03-27,39511.12268598612,40084.320622255094,0.0,0.0,LA_h48_q65
2025-03-28,12429.713618184935,11915.9265590022,695.8235626603355,166.36546626666717,LA_h48_q65
2025-03-29,12715.00989708869,12176.091187047,305.5003223701874,74.57593613333026,LA_h48_q65
2025-03-30,38041.78866414829,39009.26890548039,0.0,0.0,LA_h48_q65
2025-03-31,38669.0645518732,34831.0459918429,0.0,0.0,LA_h48_q65
2025-04-01,42871.24982958315,39136.5867000597,0.0,0.0,LA_h48_q65
2025-04-02,43136.877352972326,39273.197453268804,1684.1092434674242,252.94521530000367,LA_h48_q65
2025-04-03,39253.67359057019,40300.0869011834,669.3574853151423,96.53962433332981,LA_h48_q65
2025-04-04,11184.453717341166,10886.5295928206,493.7432593132678,119.16091693333362,LA_h48_q65
2025-04-05,13150.54695658364,12616.7210192083,312.570540231274,76.06047943333107,LA_h48_q65
2025-04-06,39421.959953437305,37427.580279347996,1735.7344885703092,281.4155445999988,LA_h48_q65
2025-04-07,35383.146630948264,31521.460944375303,889.1416550920088,133.21472096666548,LA_h48_q65
